location_name,Age,Sex,Measure,Metric,Pathogen,Antibiotic_class,Counterfactual,Infectious_syndrome,Year,val,Upper,Lower
Armenia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,7.112418473,9.417840177,5.203297388
Azerbaijan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.06762651,12.87856172,7.601882063
Georgia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.30153294,12.14724658,8.455819298
Kazakhstan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,7.649188037,9.213238082,6.085137992
Kyrgyzstan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,7.903597031,10.11699439,5.940311775
Mongolia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,8.23459623,10.30051896,6.1686735
Tajikistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,12.26009216,16.06185413,8.967534622
Turkmenistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,12.53656786,16.63001772,8.921376028
Albania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.583127814,9.109438899,4.483021499
Uzbekistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,7.457855927,9.841591441,5.426604521
Bulgaria,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,8.037524664,9.822445135,6.252604194
Bosnia and Herzegovina,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.987243698,8.779068614,5.195418782
Czechia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,3.266907595,3.995398993,2.538416198
Hungary,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,5.6142204,6.547862875,4.680577925
Croatia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.755514777,7.884496827,5.626532728
Montenegro,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,7.83019874,9.761538931,6.082680516
North Macedonia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.32577489,12.75013102,7.90141875
Poland,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.204675188,7.246600895,5.16274948
Romania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,11.15949607,12.87345274,9.445539388
Slovakia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,4.741418011,5.723431698,3.759404324
Slovenia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,2.061175951,2.674165123,1.448186779
Serbia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,11.0664972,13.10191227,9.03108213
Belarus,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.853804502,8.912367563,4.79524144
Estonia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,4.161085999,5.104695193,3.217476806
Latvia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,5.256866248,6.31653495,4.197197545
Republic of Moldova,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.65315405,13.5317818,7.774526292
Russian Federation,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,11.719086,13.40483624,10.03333575
Lithuania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.019434407,7.196136746,4.842732069
Ukraine,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.40299864,13.34708691,7.458910367
Australia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,1.533082278,1.893996811,1.172167745
New Zealand,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,1.497968231,1.932663704,1.063272759
Brunei Darussalam,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,12.36273335,15.02160467,9.872054235
Japan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,1.337949403,1.617767408,1.058131397
Republic of Korea,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,3.462817619,4.098266991,2.827368246
Singapore,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,3.129352415,3.80037188,2.45833295
Canada,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,2.090143898,2.463377918,1.716909878
United States of America,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,3.389451851,3.817839817,2.961063886
Greenland,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,5.550146719,7.824213683,3.589756714
Chile,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,6.486686181,7.62050488,5.352867483
Uruguay,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Associated,All infectious syndromes,2021,10.69893741,12.8945096,8.623360459
