"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",4279,33197023,3286,26234636,2634,23014239,2356,24207091,2362,27343056,2230,27788959
"2",228,36242140,221,32817498,163,26020693,120,22931624,121,24123821,124,27290644
"3",158,34658690,164,36137502,141,32862840,103,26102307,91,23017651,92,24190226
"4",282,33004919,269,34369918,225,36025662,175,32875509,150,26082949,127,23000664
"5",288,30326436,311,32008228,296,33421279,287,35186287,258,32251085,200,25685686
"6",322,30865187,346,29633301,394,31229630,455,32600823,440,34379072,396,31674644
"7",510,34027703,496,29911444,528,28967426,648,30672066,679,32028412,710,33906455
"8",768,32684241,854,33090205,821,29038383,849,28298614,922,30112897,1064,31534601
"9",1079,27834464,1303,31347322,1452,31938873,1305,28186458,1193,27691050,1453,29560642
"10",1172,19674422,1764,26902833,2119,30090236,2139,30612980,1759,27229088,1890,26932396
"11",2548,24000837,2082,18641332,3154,25734296,3370,28628752,3247,29325224,3128,26274088
"12",3598,21974480,3851,22038419,2975,17323646,4049,24079195,4395,27039375,4976,27930840
"13",5322,21460561,5010,19854418,5179,19794779,3583,15755405,5141,22214446,6512,25187226
"14",6193,16799747,6916,18394583,6248,17184111,5820,17066473,4345,13951294,7250,19925267
"15",4743,9948385,6554,13704557,7059,14961660,5868,14187505,5954,14401476,5142,12060789
"16",5774,7634568,5221,7403096,7068,10231388,7134,11134860,6769,10938043,8070,11340096
"17",5977,5229706,5127,4561502,4690,4644285,5966,6515106,6888,7296352,7913,7527833
"18",3556,2193259,3755,2355926,3289,2079152,2936,2302043,4354,3425159,5959,4019260
"19",1227,575549,1417,689723,1455,708644,1148,677661,1453,880487,2779,1385251
"20",275,107818,295,122839,328,152728,323,180030,374,196132,629,274366
