"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",1532,61802004,1124,59965651,957,58775255,878,58999075,769,59470940,641,57831330
"2",114,62047497,87,62773743,72,61192841,67,60128324,59,60105521,53,60725901
"3",113,63735018,89,62982828,76,63961036,72,62730006,63,61724339,58,61568178
"4",169,66325013,135,65263940,120,64780394,119,65867650,106,64568811,95,63516038
"5",234,71292458,190,66854514,177,66443310,179,66365881,169,67438826,160,66295455
"6",332,73101355,278,71876669,248,68250561,261,68606869,248,68585515,253,69676112
"7",495,72951056,434,73938491,393,73207682,385,70303317,380,70741185,385,70485988
"8",709,68677037,661,73480588,624,74984138,610,74728549,558,71786905,569,72022569
"9",1046,66301150,973,68436248,993,73463375,993,75504466,899,75320104,833,72260263
"10",1389,56779373,1418,65517604,1445,67901943,1552,73279016,1447,75474305,1328,75337315
"11",2274,50699742,2107,55755164,2310,64620923,2436,67278892,2434,72731431,2299,74924449
"12",3312,46160080,2883,49192460,2923,54353254,3309,63354221,3330,66049376,3422,71488253
"13",4883,42941210,4087,44255164,3881,47495634,4075,52745244,4420,61589611,4577,64241953
"14",6760,38728046,5869,40055077,5345,41747339,5296,45227740,5394,50370284,5997,58924575
"15",7146,30037507,6906,34548149,6532,36214119,6186,38341808,5952,41894198,6269,46832059
"16",9279,22668017,8152,24975483,8682,29237597,8622,31218794,8066,33565711,8165,36981876
"17",10836,15960615,9354,16581589,9228,18810677,10485,22648522,10446,24742834,10395,27078113
"18",8918,7846816,8889,9504469,8769,10191042,9499,12137763,11023,15018206,11802,16834039
"19",4381,2640752,4768,3422123,5536,4276516,6006,4796567,6874,6013019,8520,7602571
"20",1410,660984,1667,874125,2090,1189216,2673,1566987,3081,1883996,3840,2419889
