"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",12259,49903856,10746,51240218,9195,50957766,8836,49494555,8656,49547856,7395,49419625
"2",487,49036698,417,50023848,376,51087971,382,49860729,383,47793742,347,47985454
"3",359,47396620,330,49558501,309,50517111,340,51380704,368,50059549,334,47928491
"4",459,43194434,441,46535728,423,48695637,467,49611384,538,50552397,521,49516736
"5",486,38249234,479,41438034,479,44624370,544,46998633,628,48225570,661,49341414
"6",492,34040676,495,36471711,494,39352707,593,42769051,703,45462867,747,46925919
"7",563,29541563,596,33261589,591,35592931,694,38531264,875,42185632,941,44988806
"8",709,25096151,788,29470192,816,33094655,936,35429324,1143,38431701,1294,42176231
"9",878,20396489,1020,24344455,1119,28598211,1338,32299702,1590,34793489,1754,37908251
"10",1099,16322917,1289,19651657,1485,23506126,1850,27667744,2279,31426733,2450,34037066
"11",1652,13307927,1838,15701085,2150,19031623,2768,22833722,3521,26935680,3920,30736643
"12",2101,10914375,2306,12584677,2586,14938709,3378,18212668,4462,21963448,5175,26027747
"13",2745,9085454,2956,10362235,3253,12025312,4009,14258041,5334,17396669,6421,21032264
"14",3219,7015891,3631,8255000,3926,9519757,4806,11128179,6108,13251213,7427,16236709
"15",3170,4987321,3588,6101239,4084,7271715,4955,8456818,6215,9951009,7163,11922498
"16",3305,3394109,3625,4014970,4240,4993653,5459,6011286,6931,7039592,7998,8361441
"17",3052,2022539,3326,2418273,3811,2935113,5139,3705186,7023,4502793,8151,5327388
"18",2478,980089,2693,1196717,3021,1503428,4016,1862766,5820,2367498,7294,2899246
"19",1001,286662,1386,438189,1687,573711,2302,756691,3347,946738,4465,1200194
"20",270,70144,412,109366,653,185134,999,273006,1576,388767,2112,489843
