"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",32104,51068013,28625,51451979,28116,53043758,28109,56726092,26703,62581282,24064,64764159
"2",1369,48700553,1280,49688535,1281,49898570,1431,51216684,1605,54526859,1844,59858195
"3",901,44120071,966,48497952,987,50029959,1049,50288693,1149,51306362,1290,54459819
"4",1085,38326600,1250,43935971,1446,48698927,1873,50379455,2652,50095662,3951,50666346
"5",834,32920721,961,38026356,1136,43944473,1470,49625198,1935,50810964,2459,49665010
"6",629,28157735,720,32647423,856,37814030,1076,44723925,1364,50479245,1510,50290470
"7",579,23530900,680,27770874,825,32262556,1054,38189899,1374,45387408,1675,50478045
"8",702,19839491,800,23225238,976,27440136,1235,32309112,1604,38593818,2016,45717300
"9",827,15955912,1003,19386004,1220,22665341,1561,27082580,2016,32081261,2539,38092074
"10",1116,12611891,1381,15427930,1735,18750232,2158,22085207,2782,26633603,3467,31556405
"11",1918,10558437,2197,11918512,2852,14550702,3634,17887799,4477,21239770,5600,25600772
"12",2774,9075854,3035,9834830,3597,11078745,4772,13661288,6205,17096546,7686,20390051
"13",4087,7535084,4446,8229179,4963,8904331,5931,10069097,7800,12574086,10135,15945819
"14",4867,5573671,5746,6646632,6285,7228803,7144,7842084,8561,8939266,11427,11324986
"15",4966,3686324,5868,4423820,6978,5344138,7871,5957550,8862,6581631,10663,7598179
"16",4600,2176602,5403,2621144,6611,3215352,8400,4023940,9820,4611219,11372,5115019
"17",3770,1140877,4371,1373293,5384,1698511,7032,2149521,9153,2741219,11014,3169404
"18",2538,505715,2632,570706,3395,710427,4612,905648,6085,1155078,8342,1480914
"19",973,166772,1088,190487,1260,228161,1699,288995,2236,368076,3088,454536
"20",251,43335,308,55117,362,75084,529,103275,734,131223,1034,152647
