"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",223082,158605379,212588,164855118,184412,169152310,204566,172391870,253624,172916448,226222,166757816
"2",7949,153357127,7969,158801321,6203,165730723,6906,171264875,7986,174528944,6427,174868806
"3",3569,133624789,3914,149940258,3802,159096846,4455,168309071,5516,174765181,5336,177535939
"4",5219,112821433,5809,127550404,6226,145025925,7241,156066382,8745,166879977,7281,173925006
"5",5085,101908670,5742,110753227,5861,124890732,7395,141198750,9137,152829344,7821,164426384
"6",4306,90208320,4981,100828003,5319,110339208,6339,123256609,8521,138414423,8092,150422938
"7",3667,77963399,4310,89451163,4668,100978546,6022,110702951,8115,123422142,8557,138474387
"8",4423,67075052,4958,77025295,5644,88389566,7565,99778763,10362,109771302,11253,122656221
"9",5755,56911967,6411,64778949,6452,73990215,8878,84547334,13375,95771663,15287,106188978
"10",7426,46171532,8080,52135236,8524,60096769,11619,69550308,17889,79929633,20513,91380829
"11",12420,37184738,13210,40311370,12879,46146627,17808,54754319,28792,64684750,35252,75173105
"12",17158,31614590,18197,34182832,18364,37482898,23923,44365362,38767,52915361,51136,62285449
"13",25313,25914143,29057,29629461,27881,32840718,38316,37268816,57705,44698653,69099,52529009
"14",27879,18182493,33978,22051816,37177,25826763,49446,29554097,74749,34155779,89871,41227935
"15",26216,11956186,32083,14243492,34248,17731718,51930,21211107,79417,24581788,91499,28893053
"16",23084,7081913,27547,8321067,30059,10210410,46873,13103026,77295,15945559,89736,18915211
"17",17998,3869747,20203,4222142,21134,5188103,34768,6486231,66172,8480028,81834,10411848
"18",10328,1559672,12769,1851946,12520,2197200,20744,2706127,40077,3421781,50055,4282422
"19",3716,401622,5489,557797,6044,743970,9762,883778,19289,1097195,21823,1264352
"20",993,80640,1452,106914,1895,168837,3462,227722,6934,277092,7229,293619
