"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",37815,171627024,30612,151421895,24388,136645696,20948,135620704,17947,137969481,16355,147533604
"2",1649,173995371,1395,171686025,1018,146103400,915,133637382,887,137217971,851,146329885
"3",1000,161695173,963,178134244,843,178866985,770,149792971,740,134992781,709,139222948
"4",1346,169715445,1195,156825298,1140,176077897,1197,181203684,1046,151104882,990,135110772
"5",1389,178975916,1270,161474170,1195,150453318,1375,172516578,1409,178259832,1329,147973092
"6",1235,169312312,1279,176203089,1266,160241968,1326,150489207,1573,172143400,1684,174861033
"7",1262,132682991,1524,168700049,1691,174469539,1806,161124661,1936,151560011,2271,172072172
"8",1837,127121597,1922,129991353,2434,166564197,3018,173659210,2914,160207033,3079,149360645
"9",2394,102346061,2807,123113937,2973,126030513,4580,163395735,4826,170905943,4912,157121985
"10",2852,77948668,3395,99105735,4103,118836346,5162,123093961,7192,160616701,7559,168011892
"11",5320,66540668,5486,74612141,6758,95716181,9540,115967448,9937,120699850,13070,157598690
"12",7876,60399665,7506,62197036,8024,70209278,11785,91469759,14073,111688052,15357,116483543
"13",10732,50004674,10843,55565550,10783,57951256,13925,66728667,18111,87780631,21886,107205176
"14",13666,38220879,14427,43770219,15406,48974444,17949,52195027,20801,61392355,26348,81685768
"15",15281,26272111,16420,31144045,18406,36426187,22739,41749985,23390,45663871,26558,54617645
"16",14836,15994789,16007,18994114,18509,23027741,24723,27893508,28260,33302708,30223,37375306
"17",11728,7863475,13239,9649821,15345,11713972,21489,14586293,26445,18407857,30877,22854136
"18",7388,2866915,8552,3556102,10914,4435553,15079,5565693,18831,7421242,23660,9960946
"19",2484,637044,3332,913698,4077,1135670,5895,1460939,7920,2105708,10523,3054821
"20",483,113139,658,153738,941,217422,1351,282549,1842,436030,2765,688637
