"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",230257,620028742,213532,611031966,194418,612302379,199362,635099909,225222,663458816,214645,679725159
"2",8572,599988989,7977,612094501,6672,598431540,7018,602254767,7994,629576594,7546,665211082
"3",4622,550847421,4718,600387344,4549,620671546,4880,605823234,5651,607779666,5792,634799008
"4",7504,518323430,6905,538936603,7104,593637244,7790,620268587,9053,605231308,9273,606282570
"5",6487,499438590,6610,504264513,6827,526841770,8067,584310388,9395,611713125,9224,596488749
"6",5576,464074602,6004,491995522,6489,499424691,7450,523302767,9114,579298454,9362,602889058
"7",5646,402377898,6262,459629126,6917,487844745,8211,499201979,9826,523317878,10952,577314823
"8",7338,366302857,7923,396554108,9058,454450741,11071,484495200,12934,496303547,14449,519142929
"9",9565,310080601,10828,355726395,11626,385036279,14902,443615245,17937,474455427,20169,486116623
"10",11872,245791925,13831,297551806,15782,341566144,19357,372328298,25178,431571988,28049,462874102
"11",20528,215829799,20938,231812607,24284,282943890,31350,327770860,38927,359641244,46823,418547191
"12",28924,191078954,29443,202132806,30071,218653256,39943,270513895,52653,315308179,63392,346721698
"13",41099,165798485,42618,177571390,42909,189685381,51480,208538614,70458,259965564,85318,302891262
"14",49422,131262281,54286,146629134,56707,158626195,66714,172035793,83645,192076398,104712,241199565
"15",49140,91678592,55944,109382257,60737,123738866,74055,136298492,90889,150281278,102786,170044432
"16",49915,61789336,52830,69590252,60637,84473890,77858,97405065,98680,109952827,111593,123331931
"17",44525,37478142,45802,40437495,49424,46879062,67426,58196260,92669,68614138,109222,79201279
"18",29943,16506229,32966,19670764,35674,21852889,46286,26353729,65608,33815664,81279,40679153
"19",11937,4866821,14792,6397316,17125,7873827,21905,9109758,31449,11712471,40244,15321758
"20",3209,1110776,4094,1463701,5366,2035866,7587,2688057,11027,3380334,13964,4404310
