"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",875,33197023,674,26234636,542,23014239,484,24207091,483,27343056,460,27788959
"2",47,36242140,45,32817498,33,26020693,24,22931624,25,24123821,25,27290644
"3",33,34658690,33,36137502,28,32862840,21,26102307,18,23017651,18,24190226
"4",58,33004919,54,34369918,45,36025662,35,32875509,30,26082949,26,23000664
"5",59,30326436,62,32008228,58,33421279,56,35186287,51,32251085,40,25685686
"6",65,30865187,69,29633301,77,31229630,87,32600823,85,34379072,78,31674644
"7",102,34027703,98,29911444,103,28967426,124,30672066,130,32028412,138,33906455
"8",153,32684241,168,33090205,159,29038383,163,28298614,177,30112897,206,31534601
"9",215,27834464,257,31347322,281,31938873,250,28186458,229,27691050,282,29560642
"10",234,19674422,347,26902833,411,30090236,410,30612980,339,27229088,368,26932396
"11",514,24000837,416,18641332,617,25734296,648,28628752,625,29325224,610,26274088
"12",726,21974480,768,22038419,585,17323646,779,24079195,846,27039375,969,27930840
"13",1074,21460561,1001,19854418,1019,19794779,694,15755405,989,22214446,1269,25187226
"14",1247,16799747,1380,18394583,1232,17184111,1125,17066473,841,13951294,1410,19925267
"15",953,9948385,1301,13704557,1387,14961660,1138,14187505,1151,14401476,1009,12060789
"16",1157,7634568,1035,7403096,1383,10231388,1377,11134860,1309,10938043,1572,11340096
"17",1194,5229706,1012,4561502,916,4644285,1149,6515106,1330,7296352,1546,7527833
"18",710,2193259,740,2355926,640,2079152,565,2302043,839,3425159,1164,4019260
"19",246,575549,280,689723,284,708644,221,677661,281,880487,543,1385251
"20",55,107818,59,122839,64,152728,63,180030,73,196132,124,274366
