"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",320,61802004,226,59965651,185,58775255,173,58999075,155,59470940,133,57831330
"2",24,62047497,18,62773743,14,61192841,13,60128324,12,60105521,11,60725901
"3",24,63735018,18,62982828,15,63961036,14,62730006,13,61724339,12,61568178
"4",36,66325013,27,65263940,23,64780394,24,65867650,21,64568811,20,63516038
"5",50,71292458,39,66854514,34,66443310,36,66365881,34,67438826,34,66295455
"6",70,73101355,57,71876669,49,68250561,52,68606869,51,68585515,53,69676112
"7",105,72951056,89,73938491,77,73207682,77,70303317,78,70741185,81,70485988
"8",150,68677037,135,73480588,122,74984138,122,74728549,114,71786905,120,72022569
"9",223,66301150,199,68436248,194,73463375,198,75504466,184,75320104,176,72260263
"10",296,56779373,291,65517604,283,67901943,310,73279016,296,75474305,280,75337315
"11",490,50699742,435,55755164,456,64620923,487,67278892,499,72731431,485,74924449
"12",714,46160080,596,49192460,577,54353254,666,63354221,684,66049376,723,71488253
"13",1050,42941210,845,44255164,767,47495634,821,52745244,911,61589611,967,64241953
"14",1451,38728046,1210,40055077,1059,41747339,1069,45227740,1113,50370284,1270,58924575
"15",1531,30037507,1426,34548149,1303,36214119,1260,38341808,1236,41894198,1334,46832059
"16",1993,22668017,1682,24975483,1735,29237597,1760,31218794,1679,33565711,1741,36981876
"17",2326,15960615,1934,16581589,1849,18810677,2145,22648522,2180,24742834,2218,27078113
"18",1915,7846816,1832,9504469,1762,10191042,1952,12137763,2306,15018206,2520,16834039
"19",940,2640752,981,3422123,1114,4276516,1240,4796567,1446,6013019,1825,7602571
"20",301,660984,342,874125,421,1189216,555,1566987,650,1883996,825,2419889
