"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",2482,49903856,2156,51240218,1746,50957766,1697,49494555,1731,49547856,1518,49419625
"2",98,49036698,83,50023848,72,51087971,73,49860729,77,47793742,71,47985454
"3",72,47396620,66,49558501,59,50517111,65,51380704,74,50059549,69,47928491
"4",92,43194434,88,46535728,81,48695637,90,49611384,107,50552397,107,49516736
"5",98,38249234,95,41438034,91,44624370,105,46998633,126,48225570,136,49341414
"6",100,34040676,99,36471711,94,39352707,114,42769051,141,45462867,154,46925919
"7",114,29541563,119,33261589,113,35592931,133,38531264,176,42185632,194,44988806
"8",144,25096151,158,29470192,156,33094655,180,35429324,230,38431701,267,42176231
"9",178,20396489,205,24344455,214,28598211,258,32299702,320,34793489,362,37908251
"10",223,16322917,259,19651657,284,23506126,357,27667744,460,31426733,507,34037066
"11",338,13307927,371,15701085,409,19031623,531,22833722,707,26935680,811,30736643
"12",430,10914375,466,12584677,493,14938709,649,18212668,897,21963448,1070,26027747
"13",561,9085454,597,10362235,620,12025312,771,14258041,1073,17396669,1329,21032264
"14",659,7015891,733,8255000,748,9519757,925,11128179,1230,13251213,1539,16236709
"15",648,4987321,723,6101239,779,7271715,952,8456818,1249,9951009,1483,11922498
"16",675,3394109,730,4014970,810,4993653,1049,6011286,1393,7039592,1656,8361441
"17",623,2022539,669,2418273,729,2935113,988,3705186,1411,4502793,1688,5327388
"18",505,980089,540,1196717,578,1503428,772,1862766,1168,2367498,1511,2899246
"19",202,286662,277,438189,322,573711,443,756691,672,946738,926,1200194
"20",54,70144,82,109366,125,185134,193,273006,316,388767,438,489843
