"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",6515,51068013,5902,51451979,5848,53043758,5836,56726092,5591,62581282,5075,64764159
"2",279,48700553,263,49688535,267,49898570,296,51216684,331,54526859,382,59858195
"3",184,44120071,199,48497952,207,50029959,218,50288693,238,51306362,269,54459819
"4",223,38326600,259,43935971,305,48698927,387,50379455,541,50095662,810,50666346
"5",172,32920721,199,38026356,240,43944473,306,49625198,398,50810964,508,49665010
"6",130,28157735,150,32647423,181,37814030,224,44723925,284,50479245,316,50290470
"7",120,23530900,141,27770874,174,32262556,219,38189899,286,45387408,352,50478045
"8",145,19839491,166,23225238,205,27440136,257,32309112,335,38593818,424,45717300
"9",170,15955912,208,19386004,257,22665341,325,27082580,421,32081261,533,38092074
"10",229,12611891,286,15427930,365,18750232,449,22085207,580,26633603,727,31556405
"11",395,10558437,457,11918512,604,14550702,757,17887799,934,21239770,1171,25600772
"12",571,9075854,631,9834830,761,11078745,995,13661288,1295,17096546,1604,20390051
"13",841,7535084,923,8229179,1050,8904331,1238,10069097,1628,12574086,2114,15945819
"14",1002,5573671,1193,6646632,1328,7228803,1489,7842084,1786,8939266,2383,11324986
"15",1022,3686324,1216,4423820,1470,5344138,1641,5957550,1851,6581631,2230,7598179
"16",947,2176602,1121,2621144,1392,3215352,1746,4023940,2050,4611219,2381,5115019
"17",775,1140877,907,1373293,1134,1698511,1459,2149521,1907,2741219,2308,3169404
"18",521,505715,545,570706,715,710427,960,905648,1269,1155078,1753,1480914
"19",199,166772,224,190487,265,228161,351,288995,464,368076,647,454536
"20",51,43335,63,55117,75,75084,108,103275,152,131223,216,152647
