"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",39227,158605379,37364,164855118,33835,169152310,39281,172391870,51642,172916448,45002,166757816
"2",1397,153357127,1407,158801321,1151,165730723,1349,171264875,1636,174528944,1293,174868806
"3",642,133624789,706,149940258,708,159096846,867,168309071,1137,174765181,1087,177535939
"4",983,112821433,1084,127550404,1160,145025925,1405,156066382,1810,166879977,1498,173925006
"5",963,101908670,1075,110753227,1089,124890732,1437,141198750,1897,152829344,1620,164426384
"6",816,90208320,931,100828003,983,110339208,1225,123256609,1774,138414423,1684,150422938
"7",695,77963399,808,89451163,866,100978546,1166,110702951,1687,123422142,1786,138474387
"8",838,67075052,928,77025295,1044,88389566,1465,99778763,2153,109771302,2343,122656221
"9",1093,56911967,1203,64778949,1201,73990215,1727,84547334,2780,95771663,3186,106188978
"10",1405,46171532,1511,52135236,1581,60096769,2255,69550308,3720,79929633,4292,91380829
"11",2338,37184738,2453,40311370,2379,46146627,3448,54754319,5986,64684750,7316,75173105
"12",3222,31614590,3373,34182832,3389,37482898,4624,44365362,8063,52915361,10607,62285449
"13",4727,25914143,5354,29629461,5144,32840718,7361,37268816,11890,44698653,14274,52529009
"14",5152,18182493,6198,22051816,6827,25826763,9465,29554097,15342,34155779,18500,41227935
"15",4742,11956186,5749,14243492,6271,17731718,9938,21211107,16338,24581788,18751,28893053
"16",4128,7081913,4882,8321067,5508,10210410,8985,13103026,15901,15945559,18386,18915211
"17",3116,3869747,3504,4222142,3889,5188103,6691,6486231,13593,8480028,16742,10411848
"18",1754,1559672,2171,1851946,2306,2197200,3985,2706127,8248,3421781,10339,4282422
"19",620,401622,913,557797,1107,743970,1871,883778,3951,1097195,4490,1264352
"20",162,80640,233,106914,343,168837,662,227722,1418,277092,1474,293619
