"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",8066,171627024,6308,151421895,4878,136645696,4322,135620704,3867,137969481,3527,147533604
"2",368,173995371,299,171686025,209,146103400,187,133637382,186,137217971,181,146329885
"3",224,161695173,207,178134244,173,178866985,158,149792971,156,134992781,151,139222948
"4",305,169715445,259,156825298,235,176077897,245,181203684,221,151104882,212,135110772
"5",315,178975916,275,161474170,248,150453318,281,172516578,297,178259832,285,147973092
"6",279,169312312,276,176203089,261,160241968,271,150489207,330,172143400,360,174861033
"7",285,132682991,327,168700049,343,174469539,365,161124661,405,151560011,486,172072172
"8",418,127121597,412,129991353,489,166564197,603,173659210,608,160207033,658,149360645
"9",547,102346061,601,123113937,600,126030513,912,163395735,1004,170905943,1048,157121985
"10",652,77948668,729,99105735,825,118836346,1037,123093961,1495,160616701,1613,168011892
"11",1247,66540668,1190,74612141,1350,95716181,1896,115967448,2075,120699850,2792,157598690
"12",1845,60399665,1631,62197036,1610,70209278,2347,91469759,2928,111688052,3282,116483543
"13",2501,50004674,2347,55565550,2168,57951256,2781,66728667,3766,87780631,4666,107205176
"14",3185,38220879,3106,43770219,3070,48974444,3580,52195027,4330,61392355,5614,81685768
"15",3535,26272111,3507,31144045,3628,36426187,4495,41749985,4857,45663871,5658,54617645
"16",3413,15994789,3401,18994114,3621,23027741,4862,27893508,5844,33302708,6435,37375306
"17",2669,7863475,2793,9649821,2983,11713972,4208,14586293,5452,18407857,6575,22854136
"18",1664,2866915,1793,3556102,2105,4435553,2935,5565693,3872,7421242,5040,9960946
"19",545,637044,689,913698,784,1135670,1149,1460939,1628,2105708,2243,3054821
"20",101,113139,131,153738,179,217422,264,282549,379,436030,589,688637
