"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",9963,93825441,10234,105862469,11356,120713356,11499,137660523,12624,153629754,13850,165629666
"2",318,76609603,268,86303531,290,98397344,306,113215148,386,131279735,439,148152199
"3",170,65617060,161,75136059,174,85336768,186,97219482,231,111913803,275,129893408
"4",493,54935588,300,64455344,303,74332801,283,84264524,333,95946630,415,110547010
"5",263,45765156,227,53709985,263,63064287,276,72419062,307,81897505,373,93101709
"6",166,38389016,170,44335327,221,52196587,244,60856283,264,69833931,316,79037942
"7",157,31680286,161,36595516,213,42366064,249,49677822,265,57993088,326,66908969
"8",171,25809288,184,30271239,233,34939666,276,40291629,309,47399892,386,55675362
"9",200,20334557,229,24319479,278,28349752,322,32598970,378,37891918,491,44984430
"10",248,16283122,278,18810811,334,22384491,389,26039083,472,30261925,603,35618199
"11",363,13537449,393,14873002,460,17143539,558,20419927,691,24024540,848,28239443
"12",481,10939911,521,12102552,580,13266727,683,15371401,857,18556022,1075,22115815
"13",629,8857359,676,9675383,760,10673352,837,11713345,1031,13711466,1340,16749815
"14",745,6741554,816,7455806,910,8144976,1012,9022192,1173,10016208,1497,11874325
"15",735,4790758,794,5216956,908,5789328,985,6393718,1149,7207305,1395,8120209
"16",656,2839339,755,3260376,854,3557748,959,4019650,1117,4549994,1388,5242982
"17",460,1391183,554,1630875,690,1888400,773,2105400,922,2443055,1148,2832557
"18",258,553762,306,634900,385,736087,467,873688,550,1006701,707,1202327
"19",108,158421,131,185300,160,207155,187,245127,240,301248,313,360033
"20",31,34716,39,41602,50,47445,56,54489,71,67092,100,85308
