"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",44590,620028742,41243,611031966,38560,612302379,40747,635099909,47496,663458816,44544,679725159
"2",1693,599988989,1549,612094501,1326,598431540,1426,602254767,1669,629576594,1566,665211082
"3",936,550847421,938,600387344,906,620671546,988,605823234,1180,607779666,1204,634799008
"4",1587,518323430,1399,538936603,1419,593637244,1572,620268587,1890,605231308,1934,606282570
"5",1352,499438590,1337,504264513,1360,526841770,1626,584310388,1962,611713125,1931,596488749
"6",1153,464074602,1211,491995522,1283,499424691,1493,523302767,1901,579298454,1961,602889058
"7",1171,402377898,1270,459629126,1368,487844745,1641,499201979,2040,523317878,2294,577314823
"8",1527,366302857,1605,396554108,1784,454450741,2205,484495200,2682,496303547,3020,519142929
"9",1994,310080601,2196,355726395,2296,385036279,2967,443615245,3718,474455427,4220,486116623
"10",2470,245791925,2801,297551806,3110,341566144,3854,372328298,5213,431571988,5882,462874102
"11",4318,215829799,4259,231812607,4782,282943890,6224,327770860,8058,359641244,9791,418547191
"12",6093,191078954,5984,202132806,5919,218653256,7933,270513895,10890,315308179,13226,346721698
"13",8601,165798485,8605,177571390,8429,189685381,10203,208538614,14531,259965564,17768,302891262
"14",10364,131262281,10939,146629134,11097,158626195,13189,172035793,17255,192076398,21776,241199565
"15",10285,91678592,11234,109382257,11877,123738866,14621,136298492,18741,150281278,21374,170044432
"16",10431,61789336,10605,69590252,11852,84473890,15376,97405065,20324,109952827,23179,123331931
"17",9218,37478142,9166,40437495,9677,46879062,13339,58196260,19049,68614138,22703,79201279
"18",6190,16506229,6567,19670764,6981,21852889,9165,26353729,13498,33815664,16990,40679153
"19",2451,4866821,2927,6397316,3350,7873827,4350,9109758,6475,11712471,8419,15321758
"20",649,1110776,800,1463701,1048,2035866,1516,2688057,2274,3380334,2922,4404310
