"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",68482,620028742,64281,611031966,60347,612302379,65395,635099909,64137,663458816,59428,679725159
"2",3674,599988989,3261,612094501,2779,598431540,2978,602254767,2955,629576594,2671,665211082
"3",2064,550847421,2046,600387344,1994,620671546,2205,605823234,2260,607779666,2193,634799008
"4",3844,518323430,3211,538936603,3306,593637244,3713,620268587,3839,605231308,3788,606282570
"5",3100,499438590,3039,504264513,3169,526841770,3859,584310388,4007,611713125,3773,596488749
"6",2495,464074602,2655,491995522,2908,499424691,3462,523302767,3805,579298454,3740,602889058
"7",2490,402377898,2732,459629126,3026,487844745,3773,499201979,4123,523317878,4380,577314823
"8",3235,366302857,3458,396554108,3927,454450741,5098,484495200,5484,496303547,5832,519142929
"9",4254,310080601,4751,355726395,5104,385036279,6929,443615245,7752,474455427,8271,486116623
"10",5330,245791925,6101,297551806,6920,341566144,9040,372328298,11031,431571988,11679,462874102
"11",8726,215829799,8835,231812607,10018,282943890,13866,327770860,16002,359641244,18226,418547191
"12",12424,191078954,12464,202132806,12639,218653256,17789,270513895,21756,315308179,24597,346721698
"13",17802,165798485,18256,177571390,18128,189685381,23191,208538614,28800,259965564,32913,302891262
"14",21466,131262281,23188,146629134,23885,158626195,29839,172035793,33848,192076398,39737,241199565
"15",20644,91678592,22694,109382257,23894,123738866,31217,136298492,33820,150281278,35374,170044432
"16",20807,61789336,21442,69590252,23690,84473890,32607,97405065,36938,109952827,38174,123331931
"17",18013,37478142,18157,40437495,18895,46879062,27589,58196260,34088,68614138,36690,79201279
"18",11765,16506229,12585,19670764,13100,21852889,18396,26353729,23595,33815664,26676,40679153
"19",4426,4866821,5385,6397316,6036,7873827,8189,9109758,10628,11712471,12418,15321758
"20",1113,1110776,1390,1463701,1829,2035866,2622,2688057,3409,3380334,3992,4404310
