"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",5058,620028742,4760,611031966,4467,612302379,4150,635099909,4050,663458816,4314,679725159
"2",92,599988989,89,612094501,76,598431540,72,602254767,71,629576594,75,665211082
"3",55,550847421,58,600387344,58,620671546,54,605823234,55,607779666,63,634799008
"4",104,518323430,105,538936603,113,593637244,105,620268587,103,605231308,109,606282570
"5",103,499438590,108,504264513,112,526841770,113,584310388,113,611713125,117,596488749
"6",92,464074602,100,491995522,108,499424691,103,523302767,112,579298454,124,602889058
"7",86,402377898,98,459629126,109,487844745,109,499201979,116,523317878,140,577314823
"8",113,366302857,121,396554108,143,454450741,150,484495200,155,496303547,186,519142929
"9",148,310080601,165,355726395,174,385036279,198,443615245,216,474455427,261,486116623
"10",183,245791925,208,297551806,239,341566144,251,372328298,304,431571988,365,462874102
"11",336,215829799,339,231812607,388,282943890,429,327770860,483,359641244,632,418547191
"12",463,191078954,466,202132806,481,218653256,540,270513895,649,315308179,843,346721698
"13",626,165798485,654,177571390,662,189685381,679,208538614,843,259965564,1098,302891262
"14",712,131262281,789,146629134,858,158626195,854,172035793,966,192076398,1320,241199565
"15",640,91678592,744,109382257,851,123738866,907,136298492,991,150281278,1241,170044432
"16",595,61789336,656,69590252,799,84473890,902,97405065,1038,109952827,1281,123331931
"17",479,37478142,524,40437495,610,46879062,742,58196260,937,68614138,1209,79201279
"18",298,16506229,356,19670764,425,21852889,495,26353729,650,33815664,882,40679153
"19",113,4866821,152,6397316,190,7873827,226,9109758,302,11712471,429,15321758
"20",29,1110776,39,1463701,54,2035866,74,2688057,100,3380334,144,4404310
