"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",37812,620028742,34574,611031966,27218,612302379,22975,635099909,35534,663458816,30225,679725159
"2",1117,599988989,1111,612094501,747,598431540,732,602254767,1348,629576594,1162,665211082
"3",496,550847421,534,600387344,422,620671546,427,605823234,782,607779666,783,634799008
"4",566,518323430,643,538936603,563,593637244,576,620268587,1070,605231308,1025,606282570
"5",512,499438590,588,504264513,518,526841770,570,584310388,1069,611713125,1022,596488749
"6",465,464074602,539,491995522,494,499424691,534,523302767,1001,579298454,1014,602889058
"7",451,402377898,538,459629126,533,487844745,592,499201979,1033,523317878,1138,577314823
"8",540,366302857,636,396554108,673,454450741,764,484495200,1279,496303547,1425,519142929
"9",672,310080601,819,355726395,814,385036279,978,443615245,1694,474455427,1946,486116623
"10",840,245791925,1018,297551806,1065,341566144,1220,372328298,2238,431571988,2561,462874102
"11",1291,215829799,1430,231812607,1514,282943890,1848,327770860,3257,359641244,4082,418547191
"12",1795,191078954,1970,202132806,1881,218653256,2314,270513895,4316,315308179,5558,346721698
"13",2615,165798485,2979,177571390,2683,189685381,3078,208538614,6202,259965564,7565,302891262
"14",3256,131262281,3952,146629134,3725,158626195,4209,172035793,8151,192076398,9985,241199565
"15",4365,91678592,5404,109382257,5452,123738866,6408,136298492,11964,150281278,13774,170044432
"16",4417,61789336,5272,69590252,5600,84473890,6872,97405065,12919,109952827,14801,123331931
"17",4164,37478142,4710,40437495,4896,46879062,6245,58196260,12560,68614138,14852,79201279
"18",2871,16506229,3478,19670764,3590,21852889,4429,26353729,8735,33815664,10484,40679153
"19",1236,4866821,1700,6397316,1837,7873827,2254,9109758,4563,11712471,5216,15321758
"20",372,1110776,535,1463701,641,2035866,871,2688057,1774,3380334,1909,4404310
