"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",7879,620028742,7865,611031966,7781,612302379,8245,635099909,8923,663458816,8491,679725159
"2",192,599988989,196,612094501,180,598431540,188,602254767,205,629576594,198,665211082
"3",116,550847421,131,600387344,140,620671546,148,605823234,164,607779666,168,634799008
"4",202,518323430,219,538936603,249,593637244,269,620268587,293,605231308,283,606282570
"5",201,499438590,227,504264513,255,526841770,299,584310388,330,611713125,306,596488749
"6",178,464074602,210,491995522,246,499424691,275,523302767,325,579298454,316,602889058
"7",181,402377898,221,459629126,266,487844745,306,499201979,349,523317878,364,577314823
"8",237,366302857,279,396554108,357,454450741,425,484495200,469,496303547,479,519142929
"9",311,310080601,386,355726395,452,385036279,581,443615245,673,474455427,681,486116623
"10",384,245791925,490,297551806,622,341566144,739,372328298,956,431571988,957,462874102
"11",883,215829799,990,231812607,1275,282943890,1609,327770860,1904,359641244,2099,418547191
"12",1225,191078954,1368,202132806,1564,218653256,2033,270513895,2593,315308179,2786,346721698
"13",1692,165798485,1926,177571390,2161,189685381,2547,208538614,3409,259965564,3715,302891262
"14",2011,131262281,2416,146629134,2837,158626195,3237,172035793,3938,192076398,4479,241199565
"15",1843,91678592,2329,109382257,2875,123738866,3438,136298492,4032,150281278,4227,170044432
"16",1813,61789336,2159,69590252,2840,84473890,3535,97405065,4322,109952827,4441,123331931
"17",1571,37478142,1842,40437495,2299,46879062,3024,58196260,3957,68614138,4255,79201279
"18",1054,16506229,1345,19670764,1689,21852889,2089,26353729,2806,33815664,3138,40679153
"19",424,4866821,609,6397316,809,7873827,977,9109758,1310,11712471,1543,15321758
"20",117,1110776,172,1463701,247,2035866,328,2688057,432,3380334,528,4404310
