"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",39955,620028742,37291,611031966,35953,612302379,43030,635099909,56156,663458816,59281,679725159
"2",1066,599988989,1011,612094501,926,598431540,1166,602254767,1514,629576594,1615,665211082
"3",529,550847421,540,600387344,554,620671546,717,605823234,1010,607779666,1199,634799008
"4",787,518323430,746,538936603,797,593637244,1032,620268587,1507,605231308,1748,606282570
"5",675,499438590,692,504264513,745,526841770,1028,584310388,1531,611713125,1743,596488749
"6",597,464074602,630,491995522,708,499424691,956,523302767,1509,579298454,1823,602889058
"7",584,402377898,624,459629126,705,487844745,995,499201979,1570,523317878,2095,577314823
"8",735,366302857,773,396554108,894,454450741,1291,484495200,2036,496303547,2769,519142929
"9",941,310080601,1013,355726395,1107,385036279,1637,443615245,2707,474455427,3765,486116623
"10",1171,245791925,1270,297551806,1458,341566144,2107,372328298,3707,431571988,5119,462874102
"11",2148,215829799,2075,231812607,2352,282943890,3552,327770860,6250,359641244,9261,418547191
"12",2952,191078954,2869,202132806,2968,218653256,4541,270513895,8357,315308179,12689,346721698
"13",4195,165798485,4156,177571390,4270,189685381,6202,208538614,11483,259965564,17176,302891262
"14",4902,131262281,5130,146629134,5528,158626195,7975,172035793,13845,192076398,21327,241199565
"15",4500,91678592,4859,109382257,5459,123738866,8374,136298492,14284,150281278,20262,170044432
"16",4550,61789336,4489,69590252,5279,84473890,8420,97405065,15018,109952827,21756,123331931
"17",4146,37478142,3824,40437495,4293,46879062,7072,58196260,13843,68614138,21167,79201279
"18",2881,16506229,2707,19670764,3006,21852889,4719,26353729,9525,33815664,15447,40679153
"19",1220,4866821,1262,6397316,1502,7873827,2285,9109758,4664,11712471,7711,15321758
"20",344,1110776,373,1463701,506,2035866,805,2688057,1687,3380334,2699,4404310
