"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",64342,620028742,58483,611031966,52765,612302379,49856,635099909,49366,663458816,46301,679725159
"2",2338,599988989,2222,612094501,1887,598431540,1806,602254767,1808,629576594,1737,665211082
"3",1300,550847421,1345,600387344,1318,620671546,1268,605823234,1301,607779666,1314,634799008
"4",1896,518323430,1876,538936603,1966,593637244,1982,620268587,2093,605231308,2191,606282570
"5",1792,499438590,1847,504264513,1913,526841770,2071,584310388,2174,611713125,2123,596488749
"6",1654,464074602,1766,491995522,1914,499424691,1996,523302767,2185,579298454,2194,602889058
"7",1756,402377898,1940,459629126,2156,487844745,2300,499201979,2448,523317878,2659,577314823
"8",2349,366302857,2513,396554108,2899,454450741,3151,484495200,3252,496303547,3521,519142929
"9",3075,310080601,3498,355726395,3757,385036279,4314,443615245,4527,474455427,4909,486116623
"10",3758,245791925,4493,297551806,5180,341566144,5651,372328298,6416,431571988,6888,462874102
"11",6717,215829799,6821,231812607,8195,282943890,9373,327770860,10092,359641244,11578,418547191
"12",9475,191078954,9681,202132806,9882,218653256,11887,270513895,13716,315308179,15694,346721698
"13",13359,165798485,13785,177571390,14091,189685381,14755,208538614,18072,259965564,21220,302891262
"14",16132,131262281,17731,146629134,18704,158626195,19296,172035793,21000,192076398,25929,241199565
"15",16157,91678592,18718,109382257,20822,123738866,22124,136298492,23559,150281278,25819,170044432
"16",16786,61789336,17737,69590252,21106,84473890,23912,97405065,26113,109952827,28919,123331931
"17",15351,37478142,15839,40437495,17381,46879062,21408,58196260,25209,68614138,28918,79201279
"18",10552,16506229,11851,19670764,13112,21852889,15259,26353729,18868,33815664,23043,40679153
"19",4312,4866821,5396,6397316,6395,7873827,7566,9109758,9333,11712471,12140,15321758
"20",1179,1110776,1503,1463701,1981,2035866,2755,2688057,3422,3380334,4431,4404310
