"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",6730,620028742,6280,611031966,5887,612302379,5712,635099909,7057,663458816,6604,679725159
"2",93,599988989,87,612094501,77,598431540,75,602254767,93,629576594,88,665211082
"3",62,550847421,64,600387344,63,620671546,63,605823234,79,607779666,73,634799008
"4",104,518323430,104,538936603,109,593637244,113,620268587,150,605231308,128,606282570
"5",104,499438590,108,504264513,113,526841770,126,584310388,171,611713125,140,596488749
"6",96,464074602,104,491995522,112,499424691,123,523302767,178,579298454,151,602889058
"7",97,402377898,110,459629126,122,487844745,137,499201979,189,523317878,177,577314823
"8",128,366302857,143,396554108,165,454450741,193,484495200,259,496303547,237,519142929
"9",165,310080601,195,355726395,217,385036279,266,443615245,367,474455427,337,486116623
"10",206,245791925,251,297551806,298,341566144,348,372328298,526,431571988,481,462874102
"11",428,215829799,447,231812607,543,282943890,673,327770860,938,359641244,946,418547191
"12",591,191078954,624,202132806,656,218653256,839,270513895,1266,315308179,1225,346721698
"13",810,165798485,863,177571390,914,189685381,1028,208538614,1648,259965564,1632,302891262
"14",944,131262281,1082,146629134,1170,158626195,1305,172035793,1898,192076398,1935,241199565
"15",990,91678592,1195,109382257,1384,123738866,1588,136298492,2238,150281278,2088,170044432
"16",947,61789336,1075,69590252,1322,84473890,1610,97405065,2332,109952827,2221,123331931
"17",800,37478142,905,40437495,1051,46879062,1345,58196260,2074,68614138,2132,79201279
"18",522,16506229,644,19670764,752,21852889,899,26353729,1429,33815664,1610,40679153
"19",208,4866821,289,6397316,355,7873827,409,9109758,648,11712471,787,15321758
"20",54,1110776,82,1463701,108,2035866,133,2688057,203,3380334,261,4404310
