"","Pathogen","age_name","year","val","proportion"
"1","Acinetobacter baumannii","70+ years",1990,74426.549308458,32.1955177956613
"2","Acinetobacter baumannii","50 to 69",1990,58507.8810090415,25.3094029175818
"3","Acinetobacter baumannii","Neonatal",1990,49366.0109843931,21.3548028212591
"4","Acinetobacter baumannii","5 to 49",1990,28246.8343810522,12.2190463945494
"5","Acinetobacter baumannii","Post neonatal to 5",1990,20623.2548885116,8.92123007094835
"6","Acinetobacter baumannii","70+ years",1991,74705.6397421,32.2930830276262
"7","Acinetobacter baumannii","50 to 69",1991,58907.2906595464,25.4639145688115
"8","Acinetobacter baumannii","Neonatal",1991,48985.4114984827,21.1749737519679
"9","Acinetobacter baumannii","5 to 49",1991,28492.0301690847,12.3162789188641
"10","Acinetobacter baumannii","Post neonatal to 5",1991,20245.9784371489,8.75174973273041
"11","Acinetobacter baumannii","70+ years",1992,76131.4410552572,32.7427010909595
"12","Acinetobacter baumannii","50 to 69",1992,59728.7991826982,25.688233285136
"13","Acinetobacter baumannii","Neonatal",1992,48157.2243546321,20.7115165634331
"14","Acinetobacter baumannii","5 to 49",1992,28722.4782186316,12.352997734821
"15","Acinetobacter baumannii","Post neonatal to 5",1992,19774.2924797654,8.50455132565046
"16","Acinetobacter baumannii","70+ years",1993,77619.8477600663,32.9474152809558
"17","Acinetobacter baumannii","50 to 69",1993,60930.2505487425,25.863156472653
"18","Acinetobacter baumannii","Neonatal",1993,48428.0205590334,20.5563158217636
"19","Acinetobacter baumannii","5 to 49",1993,29273.4391186514,12.4257413944606
"20","Acinetobacter baumannii","Post neonatal to 5",1993,19335.5043010057,8.20737103016698
"21","Acinetobacter baumannii","70+ years",1994,80958.3329419294,32.3630022683209
"22","Acinetobacter baumannii","50 to 69",1994,64012.9664170631,25.5891111152614
"23","Acinetobacter baumannii","Neonatal",1994,48374.018279283,19.3374592387317
"24","Acinetobacter baumannii","5 to 49",1994,37691.354714286,15.067076529225
"25","Acinetobacter baumannii","Post neonatal to 5",1994,19120.3812814178,7.64335084846102
"26","Acinetobacter baumannii","70+ years",1995,82711.6501690698,33.7620383405057
"27","Acinetobacter baumannii","50 to 69",1995,63790.9052194851,26.0387863546846
"28","Acinetobacter baumannii","Neonatal",1995,48402.2820770432,19.7573098821356
"29","Acinetobacter baumannii","5 to 49",1995,31108.7127702579,12.698254128969
"30","Acinetobacter baumannii","Post neonatal to 5",1995,18970.6220314837,7.74361129370509
"31","Acinetobacter baumannii","70+ years",1996,79772.3263338044,33.7736318476089
"32","Acinetobacter baumannii","50 to 69",1996,61445.7362023968,26.014606424053
"33","Acinetobacter baumannii","Neonatal",1996,46722.3098763445,19.7810715238585
"34","Acinetobacter baumannii","5 to 49",1996,30320.5891389718,12.8369882394704
"35","Acinetobacter baumannii","Post neonatal to 5",1996,17936.100978647,7.59370196500915
"36","Acinetobacter baumannii","70+ years",1997,80464.3180151441,34.1226182529963
"37","Acinetobacter baumannii","50 to 69",1997,61981.9869212954,26.2847897111302
"38","Acinetobacter baumannii","Neonatal",1997,45244.6891113313,19.1869799260697
"39","Acinetobacter baumannii","5 to 49",1997,30671.378351791,13.0068552199051
"40","Acinetobacter baumannii","Post neonatal to 5",1997,17446.9591662496,7.39875688989871
"41","Acinetobacter baumannii","70+ years",1998,82893.0911739661,34.1114968908799
"42","Acinetobacter baumannii","50 to 69",1998,63861.2835912113,26.2796808011108
"43","Acinetobacter baumannii","Neonatal",1998,47040.5269589207,19.3577385808546
"44","Acinetobacter baumannii","5 to 49",1998,31973.1018911824,13.157313236925
"45","Acinetobacter baumannii","Post neonatal to 5",1998,17238.3101772062,7.09377049022963
"46","Acinetobacter baumannii","70+ years",1999,82423.1912381238,34.3924447314223
"47","Acinetobacter baumannii","50 to 69",1999,62638.3232080013,26.1368801260842
"48","Acinetobacter baumannii","Neonatal",1999,45884.3368949176,19.1460012284321
"49","Acinetobacter baumannii","5 to 49",1999,32189.0996307006,13.4314361452564
"50","Acinetobacter baumannii","Post neonatal to 5",1999,16519.9845287236,6.89323776880508
"51","Acinetobacter baumannii","70+ years",2000,81529.7687534647,34.5783833712185
"52","Acinetobacter baumannii","50 to 69",2000,61698.6200580795,26.1676019748647
"53","Acinetobacter baumannii","Neonatal",2000,44409.1495376205,18.8347964354598
"54","Acinetobacter baumannii","5 to 49",2000,32196.1782256106,13.6550343610037
"55","Acinetobacter baumannii","Post neonatal to 5",2000,15948.7602350755,6.7641838574533
"56","Acinetobacter baumannii","70+ years",2001,82928.0116691772,34.7330350471486
"57","Acinetobacter baumannii","50 to 69",2001,62742.3207132794,26.278590073609
"58","Acinetobacter baumannii","Neonatal",2001,44816.8115411113,18.7707851017661
"59","Acinetobacter baumannii","5 to 49",2001,32431.6660384275,13.5834704158089
"60","Acinetobacter baumannii","Post neonatal to 5",2001,15839.5120694826,6.63411936166745
"61","Acinetobacter baumannii","70+ years",2002,86515.607575222,35.2375852116553
"62","Acinetobacter baumannii","50 to 69",2002,64821.3939905696,26.4015876244641
"63","Acinetobacter baumannii","Neonatal",2002,45196.8312607527,18.4085535255919
"64","Acinetobacter baumannii","5 to 49",2002,33116.1447525385,13.4881208755829
"65","Acinetobacter baumannii","Post neonatal to 5",2002,15870.8407618,6.46415276270576
"66","Acinetobacter baumannii","70+ years",2003,89769.6638185947,36.1941572190857
"67","Acinetobacter baumannii","50 to 69",2003,65490.0334680435,26.4048729470073
"68","Acinetobacter baumannii","Neonatal",2003,44241.2162153554,17.8375797251282
"69","Acinetobacter baumannii","5 to 49",2003,33183.2761923387,13.3791379454968
"70","Acinetobacter baumannii","Post neonatal to 5",2003,15338.3385695885,6.18425216328211
"71","Acinetobacter baumannii","70+ years",2004,96478.8944817754,37.1224953750179
"72","Acinetobacter baumannii","50 to 69",2004,68598.3263310317,26.394799252584
"73","Acinetobacter baumannii","Neonatal",2004,44900.0048689685,17.2763196763352
"74","Acinetobacter baumannii","5 to 49",2004,34743.4039362917,13.3683315803437
"75","Acinetobacter baumannii","Post neonatal to 5",2004,15172.7140462765,5.83805411571922
"76","Acinetobacter baumannii","70+ years",2005,104888.183606934,37.1515002696336
"77","Acinetobacter baumannii","50 to 69",2005,75123.4536447469,26.6088029400683
"78","Acinetobacter baumannii","Neonatal",2005,48461.021931655,17.164942774751
"79","Acinetobacter baumannii","5 to 49",2005,37889.9743795766,13.4206670853836
"80","Acinetobacter baumannii","Post neonatal to 5",2005,15962.9329571194,5.65408693016358
"81","Acinetobacter baumannii","70+ years",2006,115090.716567222,38.0348489622846
"82","Acinetobacter baumannii","50 to 69",2006,81656.4950585784,26.9856036088588
"83","Acinetobacter baumannii","Neonatal",2006,49652.3761626526,16.408974453313
"84","Acinetobacter baumannii","5 to 49",2006,40086.4071271249,13.2476405221642
"85","Acinetobacter baumannii","Post neonatal to 5",2006,16106.8106489873,5.32293245337934
"86","Acinetobacter baumannii","70+ years",2007,120572.495858613,38.8350688608729
"87","Acinetobacter baumannii","50 to 69",2007,84486.2336878175,27.2120824877809
"88","Acinetobacter baumannii","Neonatal",2007,48771.9069481789,15.7088924080136
"89","Acinetobacter baumannii","5 to 49",2007,40805.3082395571,13.1429389769835
"90","Acinetobacter baumannii","Post neonatal to 5",2007,15837.2934891652,5.10101726634906
"91","Acinetobacter baumannii","70+ years",2008,128625.331158271,39.6664548259726
"92","Acinetobacter baumannii","50 to 69",2008,88733.0536644134,27.3641718396752
"93","Acinetobacter baumannii","Neonatal",2008,48769.9680588692,15.0400525110474
"94","Acinetobacter baumannii","5 to 49",2008,42234.2757604586,13.0245261681659
"95","Acinetobacter baumannii","Post neonatal to 5",2008,15904.6438495299,4.9047946551389
"96","Acinetobacter baumannii","70+ years",2009,133913.993900975,39.4890006176255
"97","Acinetobacter baumannii","50 to 69",2009,93426.4674786652,27.5499051629787
"98","Acinetobacter baumannii","Neonatal",2009,51263.7011989981,15.1168094486521
"99","Acinetobacter baumannii","5 to 49",2009,44270.3736189248,13.0545939244629
"100","Acinetobacter baumannii","Post neonatal to 5",2009,16242.6655712867,4.78969084628093
"101","Acinetobacter baumannii","70+ years",2010,138624.563037754,39.7841058022286
"102","Acinetobacter baumannii","50 to 69",2010,97309.4328269054,27.9270043223589
"103","Acinetobacter baumannii","Neonatal",2010,51062.5228698114,14.6545227473722
"104","Acinetobacter baumannii","5 to 49",2010,45203.9321081776,12.9731555379454
"105","Acinetobacter baumannii","Post neonatal to 5",2010,16241.6222979989,4.66121159009493
"106","Acinetobacter baumannii","70+ years",2011,138837.365100392,39.9944614253333
"107","Acinetobacter baumannii","50 to 69",2011,98230.183818318,28.2968730693235
"108","Acinetobacter baumannii","Neonatal",2011,48827.5922675048,14.0656173791727
"109","Acinetobacter baumannii","5 to 49",2011,45029.6069325296,12.9715431876623
"110","Acinetobacter baumannii","Post neonatal to 5",2011,16216.7313573352,4.67150493850812
"111","Acinetobacter baumannii","70+ years",2012,139694.433624694,40.1279634649838
"112","Acinetobacter baumannii","50 to 69",2012,100023.307957506,28.7322232047486
"113","Acinetobacter baumannii","Neonatal",2012,47754.0872577307,13.7176136447224
"114","Acinetobacter baumannii","5 to 49",2012,45029.1597421438,12.9348638317702
"115","Acinetobacter baumannii","Post neonatal to 5",2012,15621.4217330986,4.48733585377503
"116","Acinetobacter baumannii","70+ years",2013,144970.438835298,40.9432820080156
"117","Acinetobacter baumannii","50 to 69",2013,101485.239546018,28.6619728529919
"118","Acinetobacter baumannii","Neonatal",2013,46966.6573869643,13.2645600980282
"119","Acinetobacter baumannii","5 to 49",2013,45138.6652404694,12.7482893426681
"120","Acinetobacter baumannii","Post neonatal to 5",2013,15515.2521038284,4.3818956982962
"121","Acinetobacter baumannii","70+ years",2014,150267.580675092,41.3288276234397
"122","Acinetobacter baumannii","50 to 69",2014,104977.567487864,28.8724937976796
"123","Acinetobacter baumannii","Neonatal",2014,46842.1972367534,12.8832385961334
"124","Acinetobacter baumannii","5 to 49",2014,45867.4065990819,12.6151371596674
"125","Acinetobacter baumannii","Post neonatal to 5",2014,15635.48105652,4.30030282307982
"126","Acinetobacter baumannii","70+ years",2015,150502.73489227,40.7053493871359
"127","Acinetobacter baumannii","50 to 69",2015,110021.35900377,29.7566543325717
"128","Acinetobacter baumannii","Neonatal",2015,47120.7659512497,12.7444012416653
"129","Acinetobacter baumannii","5 to 49",2015,46148.5982759954,12.4814663195031
"130","Acinetobacter baumannii","Post neonatal to 5",2015,15943.5350686552,4.31212871912399
"131","Acinetobacter baumannii","70+ years",2016,151738.723752571,40.4793020825084
"132","Acinetobacter baumannii","50 to 69",2016,113625.203200453,30.3117675619675
"133","Acinetobacter baumannii","5 to 49",2016,46923.0638129636,12.5176542134294
"134","Acinetobacter baumannii","Neonatal",2016,46746.4708555846,12.4705445535443
"135","Acinetobacter baumannii","Post neonatal to 5",2016,15821.6271427651,4.22073158855042
"136","Acinetobacter baumannii","70+ years",2017,154045.594559767,40.8574976091115
"137","Acinetobacter baumannii","50 to 69",2017,115858.621990689,30.7291707011
"138","Acinetobacter baumannii","5 to 49",2017,47146.7409191577,12.504725369699
"139","Acinetobacter baumannii","Neonatal",2017,44766.1286723465,11.873315822024
"140","Acinetobacter baumannii","Post neonatal to 5",2017,15214.3121916806,4.03529049806543
"141","Acinetobacter baumannii","70+ years",2018,155439.072423571,41.1472786478049
"142","Acinetobacter baumannii","50 to 69",2018,118925.982649642,31.4816633311739
"143","Acinetobacter baumannii","5 to 49",2018,46213.1490684997,12.2333805282394
"144","Acinetobacter baumannii","Neonatal",2018,42667.7368973595,11.2948516226519
"145","Acinetobacter baumannii","Post neonatal to 5",2018,14516.7629152595,3.84282587012997
"146","Acinetobacter baumannii","70+ years",2019,154886.947478535,41.4845191838138
"147","Acinetobacter baumannii","50 to 69",2019,118931.108314503,31.8542002715173
"148","Acinetobacter baumannii","5 to 49",2019,45200.6294727447,12.1064196241739
"149","Acinetobacter baumannii","Neonatal",2019,40509.2486434566,10.8498923235881
"150","Acinetobacter baumannii","Post neonatal to 5",2019,13832.9017129514,3.70496859690691
"151","Acinetobacter baumannii","70+ years",2020,150460.88955888,41.6896717222313
"152","Acinetobacter baumannii","50 to 69",2020,117085.203811082,32.4419437152426
"153","Acinetobacter baumannii","5 to 49",2020,43764.6964895651,12.1263129243899
"154","Acinetobacter baumannii","Neonatal",2020,37792.3741866275,10.4715031132902
"155","Acinetobacter baumannii","Post neonatal to 5",2020,11803.706512498,3.270568524846
"156","Acinetobacter baumannii","70+ years",2021,149959.485511948,42.0064945426357
"157","Acinetobacter baumannii","50 to 69",2021,116688.321314592,32.6866107586119
"158","Acinetobacter baumannii","5 to 49",2021,43823.1252608831,12.2756881022098
"159","Acinetobacter baumannii","Neonatal",2021,35596.8648249322,9.9713566160796
"160","Acinetobacter baumannii","Post neonatal to 5",2021,10923.3949133327,3.05984998046292
"161","Citrobacter spp.","Neonatal",1990,4572.62502294492,44.4127183428405
"162","Citrobacter spp.","50 to 69",1990,2085.31905376295,20.2541619583942
"163","Citrobacter spp.","70+ years",1990,2061.35980510561,20.0214520036122
"164","Citrobacter spp.","5 to 49",1990,944.435241066324,9.17305402128018
"165","Citrobacter spp.","Post neonatal to 5",1990,632.016673121924,6.13861367387291
"166","Citrobacter spp.","Neonatal",1991,4513.14770161461,43.7819743014362
"167","Citrobacter spp.","50 to 69",1991,2110.72157325699,20.4760765185601
"168","Citrobacter spp.","70+ years",1991,2101.90953890418,20.3905911130105
"169","Citrobacter spp.","5 to 49",1991,957.189157596589,9.28567684246507
"170","Citrobacter spp.","Post neonatal to 5",1991,625.264522991329,6.06568122452815
"171","Citrobacter spp.","Neonatal",1992,4402.88114928741,43.0123072576334
"172","Citrobacter spp.","70+ years",1992,2141.89818394855,20.9244764232331
"173","Citrobacter spp.","50 to 69",1992,2120.98961215313,20.720217919792
"174","Citrobacter spp.","5 to 49",1992,961.799670863938,9.39594360165407
"175","Citrobacter spp.","Post neonatal to 5",1992,608.760076637605,5.9470547976874
"176","Citrobacter spp.","Neonatal",1993,4408.21781924604,42.5073825715861
"177","Citrobacter spp.","70+ years",1993,2206.87371341063,21.2803516227262
"178","Citrobacter spp.","50 to 69",1993,2170.96029354529,20.9340471658535
"179","Citrobacter spp.","5 to 49",1993,984.594516227592,9.4942077490922
"180","Citrobacter spp.","Post neonatal to 5",1993,599.829449210202,5.78401089074196
"181","Citrobacter spp.","Neonatal",1994,4340.99853385593,41.7173394001066
"182","Citrobacter spp.","70+ years",1994,2260.66851920383,21.7252033492377
"183","Citrobacter spp.","50 to 69",1994,2193.10238311991,21.0758874351725
"184","Citrobacter spp.","5 to 49",1994,1027.15329008609,9.87102439318165
"185","Citrobacter spp.","Post neonatal to 5",1994,583.818858119243,5.61054542230156
"186","Citrobacter spp.","Neonatal",1995,4280.76465803046,41.0681932095154
"187","Citrobacter spp.","70+ years",1995,2343.5826783256,22.4835313138265
"188","Citrobacter spp.","50 to 69",1995,2200.30762031579,21.1089993704707
"189","Citrobacter spp.","5 to 49",1995,1011.65841700228,9.70550512594579
"190","Citrobacter spp.","Post neonatal to 5",1995,587.239072842101,5.63377098024166
"191","Citrobacter spp.","Neonatal",1996,4251.96566952126,40.4631603057421
"192","Citrobacter spp.","70+ years",1996,2408.33147754794,22.9185064554764
"193","Citrobacter spp.","50 to 69",1996,2233.77719833884,21.2573882032008
"194","Citrobacter spp.","5 to 49",1996,1035.3559146023,9.85280117531336
"195","Citrobacter spp.","Post neonatal to 5",1996,578.808931869739,5.50814386026724
"196","Citrobacter spp.","Neonatal",1997,4199.06673509662,39.7686343422696
"197","Citrobacter spp.","70+ years",1997,2467.99467630256,23.3739504590861
"198","Citrobacter spp.","50 to 69",1997,2272.78328655906,21.5251371708217
"199","Citrobacter spp.","5 to 49",1997,1049.33190047015,9.93804082814038
"200","Citrobacter spp.","Post neonatal to 5",1997,569.563485420753,5.39423719968227
"201","Citrobacter spp.","Neonatal",1998,4127.60179537209,39.1075692117926
"202","Citrobacter spp.","70+ years",1998,2534.78878698334,24.0162285120071
"203","Citrobacter spp.","50 to 69",1998,2271.47987038823,21.5214695235381
"204","Citrobacter spp.","5 to 49",1998,1067.93617198575,10.1183180525157
"205","Citrobacter spp.","Post neonatal to 5",1998,552.676506192065,5.2364147001466
"206","Citrobacter spp.","Neonatal",1999,4106.29492840048,38.6978549888593
"207","Citrobacter spp.","70+ years",1999,2595.22670833695,24.4574996617591
"208","Citrobacter spp.","50 to 69",1999,2266.44701017147,21.359069250711
"209","Citrobacter spp.","5 to 49",1999,1099.6723616016,10.363347574036
"210","Citrobacter spp.","Post neonatal to 5",1999,543.528343337653,5.12222852463462
"211","Citrobacter spp.","Neonatal",2000,4041.74228350069,37.615381487364
"212","Citrobacter spp.","70+ years",2000,2715.84042711715,25.2755783420053
"213","Citrobacter spp.","50 to 69",2000,2317.74650636047,21.5706279402462
"214","Citrobacter spp.","5 to 49",2000,1131.11143128492,10.5269423451831
"215","Citrobacter spp.","Post neonatal to 5",2000,538.478381358788,5.01146988520146
"216","Citrobacter spp.","Neonatal",2001,3970.32434632941,36.8178520710477
"217","Citrobacter spp.","70+ years",2001,2803.05927623515,25.9934989629286
"218","Citrobacter spp.","50 to 69",2001,2352.59053799208,21.8161849904321
"219","Citrobacter spp.","5 to 49",2001,1128.51891468939,10.4650499143291
"220","Citrobacter spp.","Post neonatal to 5",2001,529.20049456853,4.90741406126241
"221","Citrobacter spp.","Neonatal",2002,3920.47146144683,36.0819395220217
"222","Citrobacter spp.","70+ years",2002,2903.63470531149,26.7235134501982
"223","Citrobacter spp.","50 to 69",2002,2390.30713906033,21.9991188505687
"224","Citrobacter spp.","5 to 49",2002,1126.2863301918,10.3657418884673
"225","Citrobacter spp.","Post neonatal to 5",2002,524.768000656016,4.82968628874417
"226","Citrobacter spp.","Neonatal",2003,3923.42500570036,35.4864951583447
"227","Citrobacter spp.","70+ years",2003,3057.11161346575,27.6508857215703
"228","Citrobacter spp.","50 to 69",2003,2438.96033827264,22.0598467180481
"229","Citrobacter spp.","5 to 49",2003,1129.55055221408,10.2165302367225
"230","Citrobacter spp.","Post neonatal to 5",2003,507.059857934737,4.58624216531444
"231","Citrobacter spp.","Neonatal",2004,3886.1205477843,34.8926394655509
