location,age,sex,measure,metric,pathogen,antibiotic_class,counterfactual,infectious_syndrome,year,val,upper,lower
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1990,237204.5277,333751.1616,140657.8938
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1991,234646.2828,332291.3294,137001.2362
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1992,229206.4821,319593.4445,138819.5198
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1993,226806.3504,316700.1318,136912.569
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1994,223423.889,309575.4591,137272.3189
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1995,221822.9925,303539.4425,140106.5425
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1996,217920.4967,303182.2478,132658.7456
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1997,212838.1239,295567.9117,130108.3361
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1998,210746.2732,285088.1951,136404.3514
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1999,204333.6725,277350.1719,131317.173
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2000,200998.3723,272104.0955,129892.6491
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2001,197092.9727,261725.285,132460.6603
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2002,194860.4406,259019.829,130701.0522
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2003,190220.6457,251165.7228,129275.5687
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2004,188916.6511,248350.9165,129482.3858
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2005,191754.7034,246448.4245,137060.9822
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2006,198289.4157,252870.9113,143707.92
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2007,199638.2017,254066.5613,145209.8422
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2008,200118.3568,257907.4222,142329.2913
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2009,207009.1109,267003.1183,147015.1035
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2010,213314.8005,270976.4321,155653.169
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2011,223735.9703,283635.0478,163836.8928
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2012,232142.0617,288939.9756,175344.1478
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2013,230735.7375,288625.4534,172846.0215
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2014,226179.548,279923.0021,172436.0938
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2015,227105.9865,278567.5467,175644.4263
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2016,222708.2561,275971.4774,169445.0348
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2017,219164.2679,268529.1753,169799.3604
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2018,207396.1312,260852.4345,153939.8279
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2019,196850.9634,247014.3079,146687.6189
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2020,175446.8529,220750.9481,130142.7577
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2021,162783.2418,209267.4279,116299.0558
