location_id,age_group_id,sex_id,year_id,infectious_syndrome,pathogen,resistance_class,counterfactual,deathcounts_mean,std_dev,deathcounts_upper,deathcounts_lower
Global,22,3,1990,0,Escherichia coli,carbapenem,1,11917.06138,4408.857447,20558.42198,3275.700788
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Escherichia coli,carbapenem,1,1834.838917,635.9337071,3081.268983,588.4088515
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Escherichia coli,carbapenem,1,694.8305709,322.4837794,1326.898778,62.76236326
High-income,22,3,1990,0,Escherichia coli,carbapenem,1,887.4552669,322.7925548,1520.128674,254.7818594
Latin America and Caribbean,22,3,1990,0,Escherichia coli,carbapenem,1,473.0934102,168.3190257,802.9987006,143.1881197
North Africa and Middle East,22,3,1990,0,Escherichia coli,carbapenem,1,592.4839709,243.7593861,1070.252368,114.7155743
South Asia,22,3,1990,0,Escherichia coli,carbapenem,1,4386.796717,1608.950535,7540.339766,1233.253668
Sub-Saharan Africa,22,3,1990,0,Escherichia coli,carbapenem,1,3043.906966,1198.888921,5393.729252,694.0846798
Global,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,30234.15203,6250.766449,42485.65427,17982.64979
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,8376.383637,1813.250875,11930.35535,4822.411921
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,2999.210081,579.4440288,4134.920377,1863.499784
High-income,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,5569.271366,1019.853866,7568.184943,3570.357789
Latin America and Caribbean,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,2100.13541,406.6084804,2897.088031,1303.182788
North Africa and Middle East,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,1767.171381,369.8754376,2492.127239,1042.215523
South Asia,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,7169.49074,1623.598465,10351.74373,3987.23775
Sub-Saharan Africa,22,3,1990,0,Pseudomonas aeruginosa,carbapenem,1,2253.30164,579.5975609,3389.31286,1117.290421
Global,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,18116.95429,2455.399648,22929.5376,13304.37098
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,2597.637316,379.3004169,3341.066133,1854.208499
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,869.7299314,122.6286475,1110.082081,629.3777823
High-income,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,2199.075158,271.1816412,2730.591174,1667.559141
Latin America and Caribbean,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,1017.652137,136.4935939,1285.179581,750.124693
North Africa and Middle East,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,868.2297072,121.1549561,1105.693421,630.7659933
South Asia,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,7197.824258,1016.917804,9190.983154,5204.665361
Sub-Saharan Africa,22,3,1990,0,Klebsiella pneumoniae,carbapenem,1,3361.383285,464.4033996,4271.613948,2451.152622
Global,22,3,1990,0,Enterobacter spp.,carbapenem,1,9655.721858,1206.169603,12019.81428,7291.629437
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Enterobacter spp.,carbapenem,1,4043.162733,489.3990465,5002.384864,3083.940602
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Enterobacter spp.,carbapenem,1,624.6003433,96.17075094,813.0950152,436.1056715
High-income,22,3,1990,0,Enterobacter spp.,carbapenem,1,1156.181153,139.1903382,1428.994216,883.3680902
Latin America and Caribbean,22,3,1990,0,Enterobacter spp.,carbapenem,1,386.8326729,49.12859383,483.1247168,290.540629
North Africa and Middle East,22,3,1990,0,Enterobacter spp.,carbapenem,1,325.8954985,45.58943799,415.250797,236.5402
South Asia,22,3,1990,0,Enterobacter spp.,carbapenem,1,1486.463515,201.5055339,1881.414361,1091.512668
Sub-Saharan Africa,22,3,1990,0,Enterobacter spp.,carbapenem,1,1630.778491,237.9535424,2097.167434,1164.389548
Global,22,3,1990,0,Serratia spp.,carbapenem,1,3193.533754,393.1126039,3964.034458,2423.033051
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Serratia spp.,carbapenem,1,704.3330685,92.74886045,886.1208349,522.545302
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Serratia spp.,carbapenem,1,273.1441806,33.40277295,338.6136156,207.6747457
High-income,22,3,1990,0,Serratia spp.,carbapenem,1,427.3510396,46.48255409,518.4568456,336.2452336
Latin America and Caribbean,22,3,1990,0,Serratia spp.,carbapenem,1,181.7332792,21.94729125,224.74997,138.7165883
North Africa and Middle East,22,3,1990,0,Serratia spp.,carbapenem,1,242.8711393,30.14954412,301.9642458,183.7780328
South Asia,22,3,1990,0,Serratia spp.,carbapenem,1,678.6327313,94.34321,863.5454229,493.7200397
Sub-Saharan Africa,22,3,1990,0,Serratia spp.,carbapenem,1,685.3175318,88.89808563,859.5577797,511.077284
Global,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,51316.96281,8807.308484,68579.28744,34054.63818
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Acinetobacter baumannii,carbapenem,1,14055.18026,2624.393443,19198.99141,8911.369109
"Central Europe, Eastern Europe, and Central Asia",22,3,1990,0,Acinetobacter baumannii,carbapenem,1,3771.212286,550.998436,4851.16922,2691.255351
High-income,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,4917.272768,900.4752058,6682.204172,3152.341365
Latin America and Caribbean,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,3927.140271,591.201954,5085.896101,2768.384441
North Africa and Middle East,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,3540.494826,528.0563992,4575.485368,2505.504283
South Asia,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,16416.24418,2844.822263,21992.09582,10840.39255
Sub-Saharan Africa,22,3,1990,0,Acinetobacter baumannii,carbapenem,1,4683.811852,962.2095115,6569.742494,2797.881209
Global,22,3,1990,0,Citrobacter spp.,carbapenem,1,2244.415263,586.6827607,3394.313474,1094.517052
"Southeast Asia, East Asia, and Oceania",22,3,1990,0,Citrobacter spp.,carbapenem,1,485.1537566,135.5910527,750.9122199,219.3952934
