location_name,Age,Sex,Measure,Metric,Pathogen,Antibiotic_class,Counterfactual,Infectious_syndrome,Year,val,Upper,Lower
Armenia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.880810396,3.679245321,-1.842091205
Azerbaijan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.810768831,0.239307576,-1.849844958
Georgia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,1.832240071,3.567848855,0.125716934
Kazakhstan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.127649164,-0.345010206,-1.904141679
Kyrgyzstan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.494450729,0.898374457,-1.868049025
Mongolia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.501020117,-0.629151979,-4.337627507
Tajikistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.524592664,-0.396749148,-2.639665202
Turkmenistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.167296132,1.626387147,-1.270846125
Albania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.697988884,-0.209526446,-5.124396849
Uzbekistan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.204195676,0.444016523,-0.848224659
Bulgaria,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.760148796,0.811592789,-2.307385544
Bosnia and Herzegovina,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-3.14073449,-0.872239674,-5.357315808
Czechia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-4.23234548,-2.026776843,-6.388262459
Hungary,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.872390481,-1.204700256,-4.511929664
Croatia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-3.144972071,-0.711910517,-5.518411282
Montenegro,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.263801892,5.367716325,-4.592883661
North Macedonia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.767782408,4.369214252,-2.709376091
Poland,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.260087413,-1.569277097,-2.946049456
Romania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.070994849,-0.315862811,-1.820406575
Slovakia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.82167629,1.882851987,-3.45441159
Slovenia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-3.861866337,0.41996062,-7.961119609
Serbia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.382540166,-1.091385584,-3.656839997
Belarus,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.018013147,0.193669168,-2.215042101
Estonia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.409485719,1.688630839,-6.342445571
Latvia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.041341038,2.179721179,-4.160864106
Republic of Moldova,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.336308634,0.091956924,-2.744193507
Russian Federation,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.636942758,0.909829569,0.364793905
Lithuania,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.561202739,1.470295991,-4.502133245
Ukraine,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,0.171280922,0.658952493,-0.314027983
Australia,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-1.966549745,-0.106003455,-3.792442977
New Zealand,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-2.004691154,2.421383433,-6.239495758
Brunei Darussalam,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,2.331144484,8.679545681,-3.646421544
Japan,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-5.81414266,-5.009015611,-6.612445592
Republic of Korea,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-5.065268582,-4.323163691,-5.801617434
Singapore,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-5.470044535,-2.712590843,-8.149342679
Canada,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.513632084,0.966065181,-1.971643805
United States of America,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,-0.371909302,-0.038042826,-0.704660687
Greenland,Age-standardized,3,Deaths,Rate (per 100k),All pathogens,Carbapenems,Attributable ,All infectious syndromes,2021,,,
