measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1990,41.83739838,41.83739838,18.26188517
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1991,42.45801973,42.45801973,19.06360969
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1992,44.27958638,44.27958638,20.91549074
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1993,48.74714883,48.74714883,21.25521319
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1994,46.30249672,46.30249672,21.23425529
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1995,47.69815945,47.69815945,22.60136965
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1996,45.4385255,45.4385255,21.15277699
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1997,45.00998924,45.00998924,20.74951287
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1998,44.43141689,44.43141689,20.23287668
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1999,46.05720337,46.05720337,21.33127533
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2000,43.63840628,43.63840628,19.9307142
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2001,41.68744967,41.68744967,19.20454527
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2002,38.66910228,38.66910228,18.32882653
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2003,35.70704626,35.70704626,16.77594202
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2004,34.28757716,34.28757716,16.40731638
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2005,32.03619156,32.03619156,15.16924517
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2006,29.1379437,29.1379437,14.00401034
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2007,27.38747359,27.38747359,13.52734179
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2008,25.88911815,25.88911815,12.42539922
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2009,25.42226707,25.42226707,12.20769523
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2010,24.78852861,24.78852861,12.22537265
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2011,24.53002685,24.53002685,11.87900005
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2012,23.92815653,23.92815653,11.77169972
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2013,24.36401269,24.36401269,11.93299935
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2014,24.7835806,24.7835806,12.86051763
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2015,25.01904576,25.01904576,13.26139576
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2016,24.27257202,24.27257202,12.7127824
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2017,24.14019398,24.14019398,12.64177215
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2018,24.15178844,24.15178844,12.63215122
1,Deaths,,"Central Europe, Eastern Europe, and Central Asia",3,Both,7,10-14 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2019,24.73336732,24.73336732,12.78888116
