"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
-0.109348629743622,-0.389222291587299,0.17131138542843,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",1
0.122432840550268,-0.177822334600841,0.423591153383929,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",2
0.0158355120150944,-0.225501044239063,0.257755817964789,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",3
-0.236739844219025,-0.527088360768835,0.0544561619606032,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",4
0.0926113443349585,-0.155437788746959,0.341276719013428,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",5
0.0668053041812611,-0.239273603087187,0.373823301418841,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",6
-0.0227760125033671,-0.359947833487273,0.315536763692781,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",7
-0.273446567657065,-0.571449945749225,0.0254499745545145,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",8
-0.314052710998869,-0.629035299293168,0.00192829802354577,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",9
0.126969347848349,-0.183482353692999,0.438386623637954,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",10
0.00734839381442143,-0.250015179178453,0.265375987045702,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",11
0.139571825196416,-0.137624548628723,0.417537636252674,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",12
0.0912969775050732,-0.178840015345716,0.362165017710137,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",13
-0.0224786809084887,-0.327382691835665,0.283358048135174,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Citrobacter spp.",14
