"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
3.66856241032636,3.52498542711845,3.81233851792941,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",1
3.62534263607692,3.49686182833933,3.75398293964526,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",2
3.72499784906375,3.6004122983027,3.84973322123106,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",3
3.73972690084461,3.62754773997704,3.85202749818738,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",4
3.77492558444732,3.63558932438202,3.91444917970798,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",5
3.76691565776275,3.5968096491527,3.93730098051637,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",6
3.68263605593551,3.55944526983438,3.80597338559665,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",7
3.74324538915682,3.5935186161195,3.89318856672276,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",8
3.72376210815275,3.59277220330814,3.85491764574186,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",9
3.59811144068123,3.46225760836418,3.73414365943774,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",10
3.70012985512154,3.57491775498791,3.82549332462487,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",11
3.71625873055814,3.57434044196281,3.8583714765891,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",12
3.60988483942206,3.47119158954714,3.74876399435198,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",13
3.803414281971,3.65024859557024,3.95680630383943,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",14
3.81761872647366,3.69163804576893,3.94375246804433,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",15
3.83489151004508,3.68283854179074,3.98716746703582,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",16
3.74482378420258,3.61415900421287,3.8756533417178,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",17
3.7287500390164,3.58453423110914,3.87316663171655,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",18
3.79193598821048,3.62652237888719,3.95761363864526,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",19
3.80816151098713,3.6521008676333,3.96445712231752,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",20
3.71212820878235,3.58743821590386,3.83696829316413,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",21
3.75713209165085,3.58021373321025,3.93435263237538,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",22
3.77413320029958,3.64278138972554,3.90565147975754,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",23
3.75074630441612,3.61664213221025,3.88502403878954,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",24
3.80072083824126,3.6530608561431,3.94859117081179,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Klebsiella pneumoniae",25
