"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
-0.396417305350349,-0.553666267588826,-0.238919694064721,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",1
-0.330176271173899,-0.483981345209084,-0.176133486656316,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",2
-0.430904490819306,-0.602088768642317,-0.259425397374813,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",3
-0.29797140913348,-0.433898714254477,-0.161858536514725,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",4
-0.331252541560012,-0.485789054210417,-0.17647604777008,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",5
-0.280980689790056,-0.418855692620967,-0.142914792221616,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",6
-0.358253750239446,-0.489439226125332,-0.226895331613108,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",7
-0.264337385797586,-0.404438922222061,-0.124038767893819,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",8
-0.352734521895526,-0.50489066300351,-0.200345691046,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",9
-0.406975170756996,-0.528760029663033,-0.285041207930437,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",10
-0.286007344796979,-0.458874033878431,-0.11284044922395,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",11
-0.319445105411609,-0.41904660321449,-0.21974398556226,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",12
-0.347454151478355,-0.489051490146641,-0.20565532938922,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",13
-0.389446520541836,-0.537831929070687,-0.240839739104159,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",14
-0.343822204399358,-0.473958462908575,-0.213515784940133,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",15
-0.382054127120668,-0.51460567606314,-0.2493259702123,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",16
-0.383198172059029,-0.514269716578386,-0.251953941972272,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",17
-0.383087901451096,-0.521645468440124,-0.2443373457515,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",18
-0.39738725323617,-0.543558164464553,-0.251001514944849,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",19
-0.38796834324426,-0.545083784335298,-0.230604696606751,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",20
-0.380158774662687,-0.522925042269762,-0.237187613544476,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",21
-0.409717747298621,-0.549090642004624,-0.270149532068109,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",22
-0.480622406214593,-0.626484510865177,-0.334546202732267,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",23
-0.411191858924265,-0.540094305281424,-0.282122351875047,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",24
-0.396159098532489,-0.540567524388136,-0.251541001327027,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",25
-0.354135407515999,-0.482099342458486,-0.226006931636269,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",26
-0.370087607340785,-0.520134776233949,-0.219814119756478,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",27
-0.409927006644051,-0.567031717832356,-0.252574069030398,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",28
-0.392893538233563,-0.556559408160384,-0.228958303964366,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",29
-0.309186976674414,-0.467875346620217,-0.150245602998977,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",30
-0.340187848157036,-0.471564192881824,-0.208638088228708,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",31
-0.300304203454271,-0.446568887852861,-0.15382462583039,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",32
-0.375931165578336,-0.532018995690586,-0.219598398246468,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",33
-0.426075604581899,-0.57084026409967,-0.281100173830606,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",34
-0.359606601578211,-0.516531054288394,-0.202434617452829,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",35
-0.460636077597143,-0.590069341020816,-0.331034290067578,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",36
-0.362286646639387,-0.493466146059163,-0.230934213238276,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",37
-0.392526969337847,-0.545051429724708,-0.239768596899836,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",38
-0.331862516408044,-0.488032615183653,-0.175447330529921,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",39
-0.40631912064869,-0.529110341382966,-0.283376321056095,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",40
-0.433302300913152,-0.583645587937232,-0.282731655884583,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",41
-0.34230147889156,-0.507520199183398,-0.17680839388805,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",42
-0.36279719298461,-0.516017245489697,-0.209341158929133,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",43
-0.434487812100248,-0.55836779118964,-0.310453508822095,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",44
-0.334047446466512,-0.486096885547826,-0.18176568776751,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",45
-0.356619799061653,-0.493629666282647,-0.219421283579724,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",46
-0.444936592726775,-0.600305785717326,-0.289324546009939,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",47
-0.450970405162232,-0.557944096205087,-0.343881638355203,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",48
-0.321037997870366,-0.477477462517117,-0.164352626011111,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",49
-0.339092966835564,-0.500024593650661,-0.177901048614315,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",50
-0.335830164790329,-0.470072274622324,-0.201406994402331,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",51
-0.441380235756261,-0.603684632880863,-0.278810811530517,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",52
-0.341107620480485,-0.468600339829506,-0.213451591929115,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",53
-0.418246389039367,-0.561249387737206,-0.275037737540074,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",54
-0.406432921761479,-0.553534576170722,-0.259113673930111,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",55
-0.343770347570294,-0.495520717750286,-0.191788548865512,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",56
-0.396962768390985,-0.537134040830178,-0.256593955036111,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",57
-0.324506245867651,-0.486272729220749,-0.162476799847444,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",58
-0.379657750814333,-0.515960491447542,-0.243168262264615,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",59
-0.412153080778754,-0.554899212260618,-0.269202047719119,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",60
-0.386292301871549,-0.542645380203166,-0.229693426884703,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",61
-0.302084681731307,-0.420119636065375,-0.183909817102168,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",62
-0.373672661136892,-0.529272008629367,-0.217829913827916,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",63
-0.40758398840427,-0.558660776998876,-0.256277675587346,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",64
-0.324281800919701,-0.473754334947574,-0.174584783005394,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",65
-0.321430130254141,-0.470972845500905,-0.171662726548916,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",66
-0.274234198737944,-0.416319765339646,-0.131945905060993,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",67
-0.341224527771067,-0.483469169351824,-0.198776567828129,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",68
-0.41127894278683,-0.576829042908356,-0.245453184230904,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",69
-0.358591672732,-0.494966565464716,-0.222029873762231,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",70
-0.258799224408912,-0.399455728920672,-0.117944083911714,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",71
-0.384133404753695,-0.531720629062016,-0.236327196173047,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",72
-0.362594744922018,-0.509735461753646,-0.215236414933473,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",73
-0.335987178226527,-0.493645415542443,-0.178079146614585,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",74
-0.3395552968944,-0.475060722892073,-0.203865377235068,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",75
-0.298250153090041,-0.445370108470211,-0.150912786613133,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",76
-0.2798002699127,-0.413540656516043,-0.14588027564858,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",77
-0.367297910576614,-0.515670650778399,-0.218703884568516,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",78
-0.440297087255015,-0.596817275818917,-0.283530442101343,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",79
-0.351467506800496,-0.482542690441345,-0.220219683059797,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",80
-0.31523014374274,-0.467325590647616,-0.162902280446897,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",81
-0.362080969793166,-0.493091490872477,-0.230897960623411,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",82
-0.309017516597521,-0.443465257812981,-0.174388208243703,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",83
-0.366660474088443,-0.475224912950689,-0.257977610066462,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",84
-0.410538106749281,-0.594909216697248,-0.225825035379457,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",85
-0.39550937752475,-0.545607008375826,-0.245185217728006,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",86
-0.279975560557177,-0.412896225951442,-0.146877483604402,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",87
-0.375193957603748,-0.516009984845434,-0.23417861031545,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",88
-0.291891426965951,-0.404118474484128,-0.179537919297001,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",89
-0.444198623343683,-0.590744501877671,-0.297436711660604,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","ass","Pseudomonas aeruginosa",90
