"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
0.386947433032026,0.0760265484945455,0.698834301129958,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",1
0.175389813120241,-0.128503758862952,0.480208086410316,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",2
0.221037636245525,-0.0896063238867262,0.532647458551039,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",3
0.421304139779477,0.111641553761133,0.731924565622366,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",4
-0.00476142493591736,-0.358402729850615,0.350135000088936,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",5
0.54611169427905,0.19234192519344,0.901130591263199,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",6
0.23874308287577,-0.0892807411069674,0.567843864665396,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",7
0.187387409546802,-0.175509248937822,0.551603323293826,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",8
0.142585858273248,-0.171333226022297,0.457492085787958,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",9
0.116659397706242,-0.250574764719913,0.485245557196379,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",10
0.171294194621652,-0.135921075401779,0.479454561452197,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",11
0.29947742446288,-0.0057898203652984,0.605676604156091,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",12
0.265258515900668,-0.0651648785346515,0.596774418463486,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",13
0.314799278485478,0.00465525927479948,0.625905146046146,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Citrobacter spp.",14
