"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
-0.768438765158741,-0.95938134327519,-0.57712806466349,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",1
-0.988412916120773,-1.16318677915488,-0.813329999180479,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",2
-0.809311231634691,-0.998559896389695,-0.619700803888423,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",3
-1.04499210844983,-1.2444449418116,-0.845136447796857,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",4
-0.873237650254521,-1.0769752048816,-0.669080486630935,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",5
-0.864649351307945,-1.05284847273009,-0.676092272039042,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",6
-1.04804313154482,-1.21277788230049,-0.883033673822753,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",7
-0.991132739552303,-1.18969803993908,-0.792168410139849,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",8
-0.829626643889891,-0.9943048347962,-0.664674540391841,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",9
-1.02633992177743,-1.21988641791289,-0.832414197021891,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",10
-0.867016893329253,-1.0302474678323,-0.70351710303278,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",11
-0.774713163069085,-0.94230370686621,-0.606839081582089,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",12
-0.88555304292115,-1.05059390464628,-0.720236904293259,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",13
-0.698977365232134,-0.894007985867928,-0.503562943958125,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",14
-0.921000939496364,-1.11923548556495,-0.722368976038779,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",15
-1.00039363834148,-1.18372944971942,-0.816717680350576,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Enterobacter spp.",16
