"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
2.62398120745264,2.28465576867003,2.96443234541797,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",1
2.47362834101992,2.00917585292224,2.94019550274276,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",2
2.57657944372411,2.2466005218966,2.9076233015817,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",3
2.69486725641275,2.31617062614102,3.07496553352975,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",4
2.61602952283155,2.20408963430396,3.02962976049357,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",5
2.67622605346642,2.28332147675863,3.07063990856067,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",6
2.62355409605721,2.19889825268376,3.0499744651584,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",7
2.59954268688971,2.2424816741037,2.95785066243293,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",8
2.7978042156598,2.3957808849443,3.20140595865992,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",9
2.71700915356214,2.43739939884084,2.99738212186942,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",10
2.82410375604663,2.38206866450847,3.26804733629478,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",11
2.92396588881405,2.54074874282089,3.30861520087566,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",12
2.50175534803914,2.09726538823254,2.90784782018494,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",13
2.55096840737787,2.16276206250268,2.94064989019138,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",14
2.43554090615243,2.02891387697444,2.84378851066125,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",15
2.64740435082502,2.26874591807011,3.02746479753258,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",16
2.41758924789162,2.01972175588296,2.81700838637089,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",17
2.72982977981588,2.25432377972818,3.20754699159382,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",18
2.7844782319338,2.39754029981958,3.17287831795201,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",19
2.40163233677446,1.95621935130408,2.84899118419315,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",20
2.60923435233398,2.26054054284437,2.95911715781489,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",21
2.72909475336398,2.36638237652529,3.09309232037214,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",22
2.80928268584613,2.39209226425126,3.22817292472202,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",23
2.51494608673961,2.1222259200333,2.90917649402234,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",24
2.74586503215459,2.46448385063029,3.02801892404974,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",25
2.68229675447293,2.30513530697225,3.06084865766338,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",26
2.6258530732528,2.3471332350901,2.90533194340525,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",27
2.47380964336688,2.08396881564563,2.86513920504625,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",28
2.54628955933982,2.19474540713169,2.8990430035762,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",29
2.62558050284452,2.26557177167446,2.98685658415279,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",30
2.71987970839347,2.32989892185724,3.1113467175828,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",31
2.52322356729784,2.14737160503906,2.90045847945846,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",32
2.63705123329145,2.2711106079045,3.00430124644699,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",33
2.55777479806907,2.17055939021693,2.94645771058177,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",34
2.46921742259756,2.0933406398759,2.8464780698779,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",35
2.51556057577795,2.14414315046614,2.88832855237513,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",36
2.58473439995073,2.23378584663889,2.93688769087501,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",37
2.85226948526194,2.43377923135988,3.27246946903947,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",38
2.62967322692802,2.28007612823136,2.98046526149141,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",39
2.57311685002861,2.18432144445189,2.96339156148377,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",40
2.69253221416388,2.27609673273808,3.11066328738216,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",41
2.68631369486618,2.3011570979921,3.0729203789956,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",42
2.61617328898534,2.20599686472283,3.02799584658815,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",43
2.38246861110476,1.96805013204269,2.79857136946378,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",44
2.81664837960318,2.49876520467642,3.13551741726399,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",45
2.64828639355001,2.30740361453736,2.99030497569053,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",46
2.53192348330402,2.20873817809735,2.85613070447761,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",47
2.72255656314722,2.35620043706533,3.09022396114567,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",48
2.63816225249742,2.28293346602415,2.99462474909675,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",49
2.95140233040918,2.55674373650221,3.34757964848844,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",50
2.67816826782503,2.29104620103362,3.0667554041427,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",51
2.39528907317177,2.02152472743857,2.77042273568902,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",52
2.65481759435773,2.32014051898428,2.99058935885312,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",53
2.54570640373288,2.15576116157752,2.93714013063107,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",54
2.48236339462025,2.11562690286549,2.85041697817048,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",55
2.72564819946464,2.35754737166749,3.09507280086623,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",56
2.77419121210292,2.42280652176889,3.12678140739033,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",57
2.79387208135484,2.36040560220874,3.22917416468245,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",58
2.55858700362364,2.18834720014054,2.93016822729639,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",59
2.30890456450521,1.91870868192598,2.70059431242822,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",60
2.40438769936959,2.02092210264397,2.78929462656785,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",61
2.58155414782515,2.16136360842614,3.00347293441237,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Escherichia coli",62
