"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
3.27182055000699,3.08945777349823,3.45450592189041,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",1
3.22223274252009,3.01305385654791,3.43183638831348,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",2
3.11945542419745,2.88743296252005,3.35200112200946,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",3
3.10503883254007,2.90676917269312,3.30369049697556,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",4
3.23811788285371,3.02976362381473,3.44689349098377,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",5
3.23126915995224,3.0554748331592,3.40736336062761,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",6
3.27629442605808,3.06782283344016,3.48518768669743,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",7
3.20842878458252,3.01786253576954,3.39934754988431,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",8
3.13952972029774,2.94691490911929,3.33250491590846,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",9
3.41768519859347,3.23402511357951,3.60167202691508,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",10
3.14608895985309,2.92262703090109,3.37003606135784,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",11
3.23960230042086,3.0546725166009,3.42486393746115,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",12
3.2499597213355,3.04623079531978,3.45409143234372,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",13
3.26688700289701,3.06633819610724,3.46782604208089,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",14
3.33605442038472,3.14073949580049,3.53173920774044,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",15
3.26958915856481,3.06614159249772,3.47343832026263,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",16
3.30237488656346,3.13063605814938,3.47439970395536,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",17
3.23088098737483,3.03450799299039,3.42762824814513,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",18
3.22612691958506,3.00722591274369,3.4454931137021,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",19
3.34304128839757,3.16125709536523,3.52514580995023,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",20
3.36753544463269,3.16776364321134,3.56769407980164,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",21
3.19051165277158,2.99559786372634,3.3857943059814,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",22
3.27688689219277,3.06758358784625,3.48661523680593,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",23
3.23477977792037,3.05218187807967,3.41770122251692,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",24
3.17175073312712,2.97466912496875,3.36920953269191,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",25
3.20903643640378,2.99539560957947,3.42312041316328,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Klebsiella pneumoniae",26
