"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
0.0133543573623829,-0.231487752408577,0.258797334655214,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",1
0.173534488252858,-0.132412785322511,0.48041904024676,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",2
0.0578520104916436,-0.258293052810965,0.374999139069754,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",3
0.213323316165304,-0.116007778168703,0.543740259865966,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",4
0.177781797465171,-0.0767465796734479,0.432958519133719,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",5
-0.0445495477581881,-0.328741200161742,0.240452417430292,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",6
0.182982226060324,-0.106315323850892,0.473117597427963,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",7
0.221514710187032,-0.056552224585027,0.500355294677379,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",8
0.228418892946736,-0.0529145841260958,0.510544274305658,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",9
0.00554357591973087,-0.276636389396889,0.288522005407055,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",10
0.111370963772384,-0.149570127571252,0.372993977599889,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",11
0.119572167134208,-0.172168294109498,0.412165221239791,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",12
0.346879597399674,0.0549595462726371,0.639651353595982,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",13
-0.0125494088113576,-0.261906244978294,0.237430848451803,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",14
0.0290532231888019,-0.291509157572878,0.350646210663008,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",15
0.239669066983739,-0.049794681552906,0.529971125571382,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",16
0.00259226869263607,-0.307828550579048,0.313979674243225,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Pseudomonas aeruginosa",17
