"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","pathogen","draw_id"
1.14670137886457,0.87340916944616,1.42073400770912,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",1
0.950741570657532,0.678798032497796,1.22341965560757,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",2
1.03962418549621,0.767634664005667,1.31234785441463,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",3
1.03948814402981,0.768125300476474,1.31158175232289,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",4
1.20925956624229,0.938499748141819,1.4807456768801,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",5
1.17049251519772,0.898063079199773,1.44365752327043,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",6
1.2069249436566,0.933145476998032,1.48144703253317,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",7
1.05909972679696,0.787663536993799,1.33126693468857,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",8
1.15197753208172,0.880916536540877,1.42376685232288,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",9
1.00003984374388,0.727892091976412,1.272922887368,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",10
1.19508023089956,0.921525185711558,1.46937676669237,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",11
1.08333638859663,0.813654074299541,1.35374011857212,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",12
1.03964190615218,0.768049745370036,1.31196606782138,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",13
1.21047834858778,0.938962216782802,1.48272483275831,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",14
1.03356935100507,0.761032332309175,1.30684352398414,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",15
1.22679326669353,0.954931414704685,1.49938721631773,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",16
1.06839584414173,0.796898415707337,1.34062455354613,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",17
1.08487779774096,0.811881181114371,1.35861368390422,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",18
1.16660438466147,0.893980785490478,1.43996463458451,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",19
1.11477795131107,0.84042274462639,1.38987959258405,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",20
1.19699529387616,0.922325712107397,1.47241241469158,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",21
1.11091032120259,0.837534986752986,1.38502678913484,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",22
0.989344107206813,0.716869770909434,1.26255558182184,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",23
0.98857084561732,0.716997747123327,1.26087621323643,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",24
0.996532379167969,0.725235506183619,1.26855997264081,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",25
1.02448725137616,0.754356352584096,1.2953423938151,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",26
1.15657431150038,0.881553549068204,1.43234482864103,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",27
1.04716232170918,0.774799117323677,1.32026163984291,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",28
1.15140224927561,0.876312963487624,1.42724170240152,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",29
1.09024101945694,0.818599618274174,1.36261431982414,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",30
1.08883875698569,0.817517450542282,1.36089024656783,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",31
1.04553094181741,0.771882050852524,1.31992293407208,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",32
1.09508910503902,0.823307969243126,1.367602858989,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",33
1.10113546884776,0.829746922133245,1.3732544720549,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",34
1.11432120398627,0.840144125436115,1.38924375023737,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",35
1.11659735651053,0.844510563584877,1.38941826200678,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",36
1.12689582415098,0.855074821239166,1.39944942934138,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",37
1.15452375212903,0.881637584812389,1.42814808014662,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",38
1.16008082180008,0.888543928451013,1.43234854425598,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",39
1.08878938377353,0.816489012498711,1.36182522493946,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",40
1.13856073698637,0.865468028191452,1.41239284281234,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",41
1.09549385252299,0.824100446060361,1.36761778254841,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",42
1.06467881879357,0.793023629037259,1.33706616777542,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",43
1.13180489292932,0.861759661763606,1.40257313772401,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",44
1.07413918920747,0.803188203432925,1.34581846977113,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",45
1.07950379827726,0.807411860865948,1.35233014619507,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",46
1.08282421117918,0.810828225839688,1.35555406427219,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",47
1.19776902415438,0.922932204330462,1.47335428911242,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",48
1.13380376857277,0.860424420026318,1.40792410416781,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",49
1.08237942902725,0.810782138440014,1.35470843785619,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",50
1.21381894007,0.941129744069724,1.48724479711027,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",51
1.07547414931579,0.803567681063955,1.34811405517483,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",52
1.17645406816846,0.904050626154773,1.4495928982539,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",53
1.05956910113358,0.787749509336666,1.33212177696944,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",54
1.10845250513765,0.837225341416592,1.38040920275939,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",55
1.21118892676439,0.935302099538693,1.48782983645532,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",56
1.20102596446998,0.928070446842821,1.47471967826274,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",57
1.09707262638015,0.826219187293398,1.36865366971564,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",58
1.18556255894429,0.913752108483368,1.45810512885807,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",59
1.18143177556318,0.910142982389384,1.45344990681069,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",60
1.05275152989908,0.78037887456115,1.32586030931396,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",61
1.08256580475203,0.811528027906516,1.35433228274824,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",62
1.0333932039353,0.762085010502478,1.30543191158699,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",63
1.18337895944907,0.914431425729889,1.45304326652631,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",64
1.10332937682462,0.83035302403498,1.37704475399483,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",65
1.18791914666483,0.914165157008329,1.46241575998309,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",66
1.111922495008,0.83755522549176,1.38703628598058,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",67
1.07385103234037,0.803129502141187,1.34529962475751,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",68
1.12025752526779,0.847815990426182,1.39343506404934,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",69
0.963258330512096,0.690223994560735,1.23703303375684,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",70
1.09578707758982,0.823002304663301,1.36930989174344,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",71
1.22613946331742,0.954667581950819,1.4983413454273,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",72
1.13487771945702,0.860789587742739,1.40971068277782,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",73
1.06648458619045,0.796522791817789,1.3371694151322,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",74
1.19876414285558,0.924561094035714,1.47371217695125,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",75
1.15918646539881,0.884901070572663,1.43421758606714,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",76
1.145469055183,0.872788676502667,1.41888654631845,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",77
1.12844104200212,0.856680333938376,1.40093401571453,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",78
1.11943197034527,0.84719039286727,1.39240847634454,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",79
1.01959348565228,0.746660132712917,1.29326624389847,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",80
1.20495191875698,0.931166499224112,1.47948000736373,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",81
1.24594324022378,0.97209423942517,1.52053495390561,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",82
1.14089391251433,0.868497755482656,1.41402567747133,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",83
1.17593874206039,0.904420995925825,1.44818709925976,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",84
1.11831569337952,0.845085044070948,1.39228663645343,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",85
1.12714110438272,0.853982849400947,1.40103919561247,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",86
1.06118176389836,0.789176160643268,1.33392144447226,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",87
1.07960883067029,0.806727128438856,1.35322921796308,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",88
1.06971339490392,0.797969661725073,1.34218972871716,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",89
1.1097249221717,0.838145825774461,1.38203544024469,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",90
1.04574663889112,0.773908032685222,1.31831853240587,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",91
0.961123823512411,0.690746382936358,1.23222728870345,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",92
1.13885575634256,0.865952711193652,1.41249716830456,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",93
1.0499002607173,0.776820326899164,1.3237201727369,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",94
1.15580239059476,0.883188553564351,1.42915290442143,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",95
1.01276355896731,0.742646844692074,1.28360452500302,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",96
1.01879695082638,0.747776814407053,1.29054615459259,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",97
1.15063482047109,0.878208398904246,1.42379694260544,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",98
1.11869905909998,0.846270174378749,1.39186389069461,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",99
1.10804477672461,0.835376751152861,1.38145012142548,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",100
1.17694783232123,0.904237125329566,1.45039558596058,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",101
1.17125227234551,0.896039847302155,1.4472153896758,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",102
1.13006644065075,0.861010488186298,1.39984012442889,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",103
1.0205814148837,0.749843335018707,1.29204703044963,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",104
1.09866494913531,0.82809175105929,1.36996423310907,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",105
1.12047052312694,0.847329379090778,1.39435145953064,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",106
1.03937981302846,0.766145012450492,1.31335550982943,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att","Serratia spp.",107
