"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","draw_id"
-0.247358050204827,-0.518966384597019,0.024991843504063,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
0.742632548172506,0.525937874167703,0.959794331290986,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
-1.63005867112332,-2.01479811380699,-1.2438085468683,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
0.189347387808647,-0.0444176637592886,0.423659143202992,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
0.877821642388299,0.583274767549158,1.17323106481977,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
2.01820528364041,1.81912465830323,2.21767515898852,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
0.163165098507601,-0.0849438795447077,0.411890180552454,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
-0.00993584808091086,-0.358367325500897,0.339714040671746,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",1
-0.232469095320809,-0.588227181676393,0.124562118074145,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
0.849172243082008,0.657126706683098,1.04158418660238,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
-1.62591920260859,-1.906208425245,-1.34482909291231,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
0.174406542409322,-0.0397275410084719,0.388999342120622,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
0.928193714926162,0.535023841102245,1.3229011877258,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
2.13456480830956,1.87356783276857,2.3962304501463,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
0.223784781118863,0.00499268148395071,0.443055556683625,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
-0.0904346945365675,-0.412971279456842,0.233146502819159,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",2
-0.169880357905261,-0.468261986638652,0.12939577541673,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
1.06025445353699,0.842848911841432,1.27812869648471,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
-1.63901561465004,-2.02351742715677,-1.2530048518326,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
0.139603034707392,-0.0393219305279136,0.318848267309857,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
0.836891690143493,0.561704418518549,1.11283201219556,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
2.14532934527556,1.90086915619816,2.3903759943561,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
-0.119194839252068,-0.337587776759996,0.0996766686023776,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
0.0935165847872677,-0.191656568915555,0.379504537381647,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",3
-0.316680283628268,-0.605451535509971,-0.0270700638433707,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
0.960673382820265,0.735935298277135,1.18591284958114,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
-1.53721100777658,-1.90606977173298,-1.16696523865655,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
0.252269774941216,0.0674870916953285,0.437393674310549,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
0.721978455518979,0.409990754352862,1.03493554553722,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
2.12140824544333,1.87714574083502,2.36625639829222,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
-0.0848188531506144,-0.378021451569011,0.209246685002284,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
0.00201169587956684,-0.312489462120713,0.317505064216439,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",4
-0.165544342885982,-0.538674059742617,0.20898517217649,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",5
