"Pathogen","type","draws_completed","mc_95ui","apc_ci_median"
"Acinetobacter baumannii","ass",500,"0.40 (0.25, 0.54)","0.23, 0.55"
"Citrobacter spp.","ass",500,"-0.02 (-0.24, 0.21)","-0.31, 0.26"
"Enterobacter spp.","ass",500,"1.04 (0.64, 1.38)","0.69, 1.40"
"Escherichia coli","ass",499,"1.99 (1.32, 2.75)","1.41, 2.59"
"Escherichia coli","ass",1,"NA (NA, NA)","NA, NA"
"Klebsiella pneumoniae","ass",500,"3.72 (3.63, 3.82)","3.59, 3.86"
"Pseudomonas aeruginosa","ass",500,"-0.35 (-0.45, -0.24)","-0.49, -0.21"
"Serratia spp.","ass",500,"0.92 (0.75, 1.11)","0.69, 1.15"
"Acinetobacter baumannii","att",500,"0.32 (0.16, 0.50)","0.13, 0.52"
"Citrobacter spp.","att",500,"0.30 (0.06, 0.56)","-0.03, 0.64"
"Enterobacter spp.","att",500,"-0.90 (-1.04, -0.76)","-1.08, -0.71"
"Escherichia coli","att",500,"2.61 (2.25, 2.95)","2.23, 2.98"
"Klebsiella pneumoniae","att",500,"3.25 (3.11, 3.42)","3.07, 3.44"
"Pseudomonas aeruginosa","att",500,"0.16 (-0.04, 0.37)","-0.12, 0.44"
"Serratia spp.","att",500,"1.10 (0.96, 1.22)","0.83, 1.37"
