"type","pathogen","location","cause","measure","sex","rei","draws_completed","net_drift_median","net_drift_lower","net_drift_upper","apc_cilo_median","apc_cihi_median","net_drift_sd","mc_95ui","apc_ci_median"
"ass","Acinetobacter baumannii","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.39537236947037,0.249435427377768,0.541109725321376,0.233892509301803,0.554427516027456,0.0761352832255167,"0.40 (0.25, 0.54)","0.23, 0.55"
"ass","Citrobacter spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.0238342656607937,-0.243836418764627,0.209353628643683,-0.309497188049179,0.262986575325963,0.121757280655811,"-0.02 (-0.24, 0.21)","-0.31, 0.26"
"ass","Enterobacter spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,1.03727957402502,0.640248541172176,1.38342035281766,0.685301643477121,1.39627810170981,0.180563341049696,"1.04 (0.64, 1.38)","0.69, 1.40"
"ass","Escherichia coli","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",499,1.98891358377242,1.32429328387593,2.75275770401407,1.41153404202243,2.58551021227218,0.378071773070218,"1.99 (1.32, 2.75)","1.41, 2.59"
"ass","Escherichia coli",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"NA (NA, NA)","NA, NA"
"ass","Klebsiella pneumoniae","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,3.72289536972974,3.62595386638114,3.82329337906179,3.58502830442474,3.86226985161304,0.0529744484114762,"3.72 (3.63, 3.82)","3.59, 3.86"
"ass","Pseudomonas aeruginosa","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.353007307451875,-0.45277361268549,-0.244350798142627,-0.494038474613728,-0.211163054274416,0.0527281402475825,"-0.35 (-0.45, -0.24)","-0.49, -0.21"
"ass","Serratia spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.916667005185712,0.752505510958523,1.10884042031296,0.686661463495764,1.14948996629202,0.0915555132855209,"0.92 (0.75, 1.11)","0.69, 1.15"
"att","Acinetobacter baumannii","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.323155806414144,0.156759637577701,0.504360906964543,0.126072532425303,0.523961211905477,0.0897470414360208,"0.32 (0.16, 0.50)","0.13, 0.52"
"att","Citrobacter spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.303912330886136,0.0637214557196952,0.564198762942342,-0.0272542293568989,0.638411026791541,0.136954404507176,"0.30 (0.06, 0.56)","-0.03, 0.64"
"att","Enterobacter spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.896416459619043,-1.03824471879492,-0.758860965356934,-1.08446513401412,-0.708366680640293,0.0728695726645916,"-0.90 (-1.04, -0.76)","-1.08, -0.71"
"att","Escherichia coli","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,2.60667297419951,2.24730462105225,2.9503183812844,2.23020632493799,2.98366945916456,0.184203924790262,"2.61 (2.25, 2.95)","2.23, 2.98"
"att","Klebsiella pneumoniae","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,3.25457865758837,3.10799564936113,3.41613410876954,3.06746010438528,3.44227811721036,0.0786398606626287,"3.25 (3.11, 3.42)","3.07, 3.44"
"att","Pseudomonas aeruginosa","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.162892600604958,-0.0445684902708424,0.370425471138699,-0.119871838380109,0.443032588413228,0.111307614299561,"0.16 (-0.04, 0.37)","-0.12, 0.44"
"att","Serratia spp.","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,1.1019916826794,0.962137714337261,1.22155327934197,0.829640217285443,1.37479082637499,0.0671866035251246,"1.10 (0.96, 1.22)","0.83, 1.37"
