"region","type","draws_completed","mc_95ui","apc_ci_median"
"Central Europe, Eastern Europe, and Central Asia","ass",500,"-0.13 (-0.27, 0.00)","-0.39, 0.12"
"Global","ass",500,"0.81 (0.66, 0.95)","0.64, 0.99"
"High-income","ass",500,"-1.59 (-1.71, -1.48)","-1.85, -1.34"
"Latin America and Caribbean","ass",500,"0.17 (0.07, 0.30)","0.03, 0.32"
"North Africa and Middle East","ass",500,"0.82 (0.66, 0.98)","0.53, 1.12"
"South Asia","ass",500,"1.52 (1.35, 1.67)","1.30, 1.73"
"Southeast Asia, East Asia, and Oceania","ass",500,"0.25 (0.08, 0.43)","0.03, 0.48"
"Sub-Saharan Africa","ass",500,"0.21 (-0.34, 0.49)","-0.05, 0.48"
"Central Europe, Eastern Europe, and Central Asia","att",500,"-0.24 (-0.46, -0.07)","-0.58, 0.08"
"Global","att",500,"0.90 (0.72, 1.07)","0.67, 1.12"
"High-income","att",500,"-1.62 (-1.79, -1.43)","-1.96, -1.27"
"Latin America and Caribbean","att",500,"0.23 (0.06, 0.38)","0.02, 0.43"
"North Africa and Middle East","att",500,"0.86 (0.68, 1.04)","0.55, 1.19"
"South Asia","att",500,"2.11 (1.92, 2.29)","1.86, 2.36"
"Southeast Asia, East Asia, and Oceania","att",500,"0.03 (-0.18, 0.23)","-0.23, 0.30"
"Sub-Saharan Africa","att",500,"-0.03 (-0.48, 0.26)","-0.31, 0.27"
