"type","location","cause","measure","sex","rei","draws_completed","net_drift_median","net_drift_lower","net_drift_upper","apc_cilo_median","apc_cihi_median","net_drift_sd","mc_95ui","apc_ci_median"
"ass","Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.133801857189197,-0.267981156716797,0.00422371965533628,-0.387838274579294,0.122065073907773,0.0695458793502924,"-0.13 (-0.27, 0.00)","-0.39, 0.12"
"ass","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.810977716630368,0.663170811599148,0.95261421521542,0.636528528475055,0.987290003299179,0.0765031564964293,"0.81 (0.66, 0.95)","0.64, 0.99"
"ass","High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-1.59248538690246,-1.71395281822383,-1.47628306139865,-1.84866492736222,-1.34249347115829,0.0644351573395674,"-1.59 (-1.71, -1.48)","-1.85, -1.34"
"ass","Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.174302493371492,0.0691765765201391,0.298064974840502,0.0300534595285673,0.320465345449183,0.0595788877812116,"0.17 (0.07, 0.30)","0.03, 0.32"
"ass","North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.820197479014406,0.65928281852683,0.976831809862855,0.526534550807856,1.12118816057419,0.0806295081252563,"0.82 (0.66, 0.98)","0.53, 1.12"
"ass","South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,1.51646019917003,1.3503801658334,1.67116104041011,1.30037673120114,1.72677240193403,0.0796845281683159,"1.52 (1.35, 1.67)","1.30, 1.73"
"ass","Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.251447096433621,0.080635154598937,0.430613774359969,0.0269898497499921,0.475668307189581,0.0916595126377362,"0.25 (0.08, 0.43)","0.03, 0.48"
"ass","Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.207630822035998,-0.335444571370617,0.493554710191114,-0.0518462974515521,0.476292982136228,0.196109482331607,"0.21 (-0.34, 0.49)","-0.05, 0.48"
"att","Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.243414627060445,-0.455717945029857,-0.0724161626073325,-0.575573831104459,0.078033847016401,0.0967313583491804,"-0.24 (-0.46, -0.07)","-0.58, 0.08"
"att","Global","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.89813140089221,0.717181342544563,1.07058376759521,0.673971194198952,1.11719193289703,0.0920547611443044,"0.90 (0.72, 1.07)","0.67, 1.12"
"att","High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-1.61926937373637,-1.79373324177294,-1.43409713364848,-1.9602503933185,-1.27074605137264,0.0913192639953228,"-1.62 (-1.79, -1.43)","-1.96, -1.27"
"att","Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.228785801003772,0.0613996819756268,0.37551641296046,0.0233594168780993,0.430516799889802,0.0804578371589882,"0.23 (0.06, 0.38)","0.02, 0.43"
"att","North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.861807491310052,0.675232330442707,1.03661775969767,0.546667854485405,1.18690433533101,0.0978228711952004,"0.86 (0.68, 1.04)","0.55, 1.19"
"att","South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,2.10837731442369,1.92427436347795,2.29004198126653,1.85939476800558,2.36225122400939,0.096259972512394,"2.11 (1.92, 2.29)","1.86, 2.36"
"att","Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,0.0315896121640624,-0.182729992414186,0.230957331738724,-0.225297343645275,0.295791758007136,0.102183235532251,"0.03 (-0.18, 0.23)","-0.23, 0.30"
"att","Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile",500,-0.0261972212341088,-0.478669629696274,0.256395209707897,-0.310838306008804,0.26504123832124,0.187717563049401,"-0.03 (-0.48, 0.26)","-0.31, 0.27"
