"gf","secondDiff","period_include","cohort_include","overdis_include","age_model","period_model","cohort_model","prior_type","param_strength","rmse","mae","n_obs","param_combination"
5,FALSE,TRUE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","default",0.00503395216120376,0.00414224324687127,11,1
5,FALSE,FALSE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","default",0.0255516930299155,0.0230939179993282,11,2
5,FALSE,TRUE,FALSE,TRUE,"rw2","rw2","rw2","loggamma","default",0.00574067374641823,0.00490015376525142,11,3
5,FALSE,TRUE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","default",0.00453918345860699,0.00337575688719777,11,4
5,FALSE,FALSE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","default",0.0216324136867945,0.0197056060176702,11,5
5,FALSE,TRUE,FALSE,FALSE,"rw2","rw2","rw2","loggamma","default",0.00463615682336427,0.00347310045672052,11,6
5,FALSE,TRUE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.00484272814636476,0.00388361937583435,11,7
5,FALSE,FALSE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.0269024156891987,0.0244428851375999,11,8
5,FALSE,TRUE,FALSE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.00537853124140253,0.00454315336984655,11,9
5,FALSE,TRUE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.00458678292698698,0.00347064084435798,11,10
5,FALSE,FALSE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.0217793446287383,0.0198544680400509,11,11
5,FALSE,TRUE,FALSE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.00468256589655121,0.00353635676668715,11,12
