"gf","secondDiff","period_include","cohort_include","overdis_include","age_model","period_model","cohort_model","prior_type","param_strength","rmse","mae","n_obs","param_combination"
5,FALSE,TRUE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","default",0.0505213904699705,0.0391352941947277,11,1
5,FALSE,FALSE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","default",0.305140154669648,0.289871165590236,11,2
5,FALSE,TRUE,FALSE,TRUE,"rw2","rw2","rw2","loggamma","default",0.120682398002603,0.106809302093837,11,3
5,FALSE,TRUE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","default",0.0449407750062037,0.0365113211825183,11,4
5,FALSE,FALSE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","default",0.273823297664978,0.262188680946858,11,5
5,FALSE,TRUE,FALSE,FALSE,"rw2","rw2","rw2","loggamma","default",0.0473422396021815,0.0383081642184057,11,6
5,FALSE,TRUE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.0496040547526027,0.0381566086879301,11,7
5,FALSE,FALSE,TRUE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.314382299030581,0.298973979803275,11,8
5,FALSE,TRUE,FALSE,TRUE,"rw2","rw2","rw2","loggamma","conservative",0.121398388791107,0.106714064686979,11,9
5,FALSE,TRUE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.045058632455946,0.0365861140930701,11,10
5,FALSE,FALSE,TRUE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.273808169279009,0.262173167139395,11,11
5,FALSE,TRUE,FALSE,FALSE,"rw2","rw2","rw2","loggamma","conservative",0.0474000613069412,0.0383288858383212,11,12
